r,m,nu,rho,P
0.0000e+00,0.0000e+00,-5.2325e-01,9.1260e-04,9.5119e-05
3.7500e-03,2.0161e-10,-5.2325e-01,9.1260e-04,9.5119e-05
7.5000e-03,1.6127e-09,-5.2325e-01,9.1260e-04,9.5119e-05
1.1250e-02,5.4429e-09,-5.2325e-01,9.1260e-04,9.5119e-05
1.5000e-02,1.2902e-08,-5.2325e-01,9.1260e-04,9.5119e-05
1.8750e-02,2.5198e-08,-5.2325e-01,9.1260e-04,9.5118e-05
2.2500e-02,4.3543e-08,-5.2325e-01,9.1260e-04,9.5118e-05
2.6250e-02,6.9144e-08,-5.2325e-01,9.1260e-04,9.5118e-05
3.0000e-02,1.0321e-07,-5.2325e-01,9.1260e-04,9.5117e-05
3.3750e-02,1.4696e-07,-5.2325e-01,9.1259e-04,9.5116e-05
3.7500e-02,2.0159e-07,-5.2324e-01,9.1259e-04,9.5116e-05
4.1250e-02,2.6831e-07,-5.2324e-01,9.1259e-04,9.5115e-05
4.5000e-02,3.4834e-07,-5.2324e-01,9.1259e-04,9.5114e-05
4.8750e-02,4.4288e-07,-5.2324e-01,9.1258e-04,9.5113e-05
5.2500e-02,5.5315e-07,-5.2324e-01,9.1258e-04,9.5112e-05
5.6250e-02,6.8035e-07,-5.2324e-01,9.1258e-04,9.5111e-05
6.0000e-02,8.2569e-07,-5.2323e-01,9.1258e-04,9.5110e-05
6.3750e-02,9.9038e-07,-5.2323e-01,9.1257e-04,9.5109e-05
6.7500e-02,1.1756e-06,-5.2323e-01,9.1257e-04,9.5108e-05
7.1250e-02,1.3827e-06,-5.2323e-01,9.1256e-04,9.5106e-05
7.5000e-02,1.6127e-06,-5.2322e-01,9.1256e-04,9.5105e-05
7.8750e-02,1.8668e-06,-5.2322e-01,9.1255e-04,9.5104e-05
8.2500e-02,2.1464e-06,-5.2322e-01,9.1255e-04,9.5102e-05
8.6250e-02,2.4526e-06,-5.2321e-01,9.1254e-04,9.5100e-05
9.0000e-02,2.7866e-06,-5.2321e-01,9.1254e-04,9.5099e-05
9.3750e-02,3.1497e-06,-5.2321e-01,9.1253e-04,9.5097e-05
9.7500e-02,3.5429e-06,-5.2320e-01,9.1253e-04,9.5095e-05
1.0125e-01,3.9676e-06,-5.2320e-01,9.1252e-04,9.5093e-05
1.0500e-01,4.4250e-06,-5.2320e-01,9.1252e-04,9.5091e-05
1.0875e-01,4.9162e-06,-5.2319e-01,9.1251e-04,9.5089e-05
1.1250e-01,5.4425e-06,-5.2319e-01,9.1250e-04,9.5087e-05
1.1625e-01,6.0051e-06,-5.2318e-01,9.1250e-04,9.5085e-05
1.2000e-01,6.6051e-06,-5.2318e-01,9.1249e-04,9.5083e-05
1.2375e-01,7.2439e-06,-5.2317e-01,9.1248e-04,9.5081e-05
1.2750e-01,7.9225e-06,-5.2317e-01,9.1247e-04,9.5078e-05
1.3125e-01,8.6423e-06,-5.2316e-01,9.1247e-04,9.5076e-05
1.3500e-01,9.4044e-06,-5.2316e-01,9.1246e-04,9.5073e-05
1.3875e-01,1.0210e-05,-5.2315e-01,9.1245e-04,9.5071e-05
1.4250e-01,1.1060e-05,-5.2315e-01,9.1244e-04,9.5068e-05
1.4625e-01,1.1957e-05,-5.2314e-01,9.1243e-04,9.5065e-05
1.5000e-01,1.2900e-05,-5.2314e-01,9.1242e-04,9.5062e-05
1.5375e-01,1.3892e-05,-5.2313e-01,9.1241e-04,9.5060e-05
1.5750e-01,1.4933e-05,-5.2313e-01,9.1240e-04,9.5057e-05
1.6125e-01,1.6025e-05,-5.2312e-01,9.1240e-04,9.5054e-05
1.6500e-01,1.7170e-05,-5.2311e-01,9.1239e-04,9.5050e-05
1.6875e-01,1.8367e-05,-5.2311e-01,9.1238e-04,9.5047e-05
1.7250e-01,1.9619e-05,-5.2310e-01,9.1237e-04,9.5044e-05
1.7625e-01,2.0926e-05,-5.2310e-01,9.1235e-04,9.5041e-05
1.8000e-01,2.2290e-05,-5.2309e-01,9.1234e-04,9.5037e-05
1.8375e-01,2.3712e-05,-5.2308e-01,9.1233e-04,9.5034e-05
1.8750e-01,2.5194e-05,-5.2307e-01,9.1232e-04,9.5030e-05
1.9125e-01,2.6736e-05,-5.2307e-01,9.1231e-04,9.5027e-05
1.9500e-01,2.8339e-05,-5.2306e-01,9.1230e-04,9.5023e-05
1.9875e-01,3.0006e-05,-5.2305e-01,9.1229e-04,9.5019e-05
2.0250e-01,3.1736e-05,-5.2305e-01,9.1227e-04,9.5016e-05
2.0625e-01,3.3532e-05,-5.2304e-01,9.1226e-04,9.5012e-05
2.1000e-01,3.5394e-05,-5.2303e-01,9.1225e-04,9.5008e-05
2.1375e-01,3.7324e-05,-5.2302e-01,9.1224e-04,9.5004e-05
2.1750e-01,3.9322e-05,-5.2301e-01,9.1222e-04,9.5000e-05
2.2125e-01,4.1391e-05,-5.2301e-01,9.1221e-04,9.4996e-05
2.2500e-01,4.3531e-05,-5.2300e-01,9.1220e-04,9.4991e-05
2.2875e-01,4.5744e-05,-5.2299e-01,9.1218e-04,9.4987e-05
2.3250e-01,4.8030e-05,-5.2298e-01,9.1217e-04,9.4983e-05
2.3625e-01,5.0392e-05,-5.2297e-01,9.1216e-04,9.4978e-05
2.4000e-01,5.2829e-05,-5.2296e-01,9.1214e-04,9.4974e-05
2.4375e-01,5.5344e-05,-5.2295e-01,9.1213e-04,9.4969e-05
2.4750e-01,5.7937e-05,-5.2294e-01,9.1211e-04,9.4964e-05
2.5125e-01,6.0610e-05,-5.2293e-01,9.1210e-04,9.4960e-05
2.5500e-01,6.3364e-05,-5.2292e-01,9.1208e-04,9.4955e-05
