r,m,nu,rho,P
2.8875e-01,8.3172e-05,-4.3312e-01,8.2451e-04,6.9065e-05
2.9250e-01,8.6454e-05,-4.3311e-01,8.2449e-04,6.9061e-05
2.9625e-01,8.9821e-05,-4.3311e-01,8.2448e-04,6.9057e-05
3.0000e-01,9.3274e-05,-4.3310e-01,8.2446e-04,6.9053e-05
3.0375e-01,9.6814e-05,-4.3309e-01,8.2445e-04,6.9048e-05
3.0750e-01,1.0044e-04,-4.3308e-01,8.2443e-04,6.9044e-05
3.1125e-01,1.0416e-04,-4.3307e-01,8.2441e-04,6.9039e-05
3.1500e-01,1.0797e-04,-4.3306e-01,8.2440e-04,6.9035e-05
3.1875e-01,1.1187e-04,-4.3305e-01,8.2438e-04,6.9030e-05
3.2250e-01,1.1587e-04,-4.3303e-01,8.2436e-04,6.9026e-05
3.2625e-01,1.1995e-04,-4.3302e-01,8.2434e-04,6.9021e-05
3.3000e-01,1.2414e-04,-4.3301e-01,8.2433e-04,6.9016e-05
3.3375e-01,1.2841e-04,-4.3300e-01,8.2431e-04,6.9011e-05
3.3750e-01,1.3279e-04,-4.3299e-01,8.2429e-04,6.9006e-05
3.4125e-01,1.3726e-04,-4.3298e-01,8.2427e-04,6.9002e-05
3.4500e-01,1.4184e-04,-4.3297e-01,8.2425e-04,6.8997e-05
3.4875e-01,1.4651e-04,-4.3296e-01,8.2423e-04,6.8992e-05
3.5250e-01,1.5128e-04,-4.3295e-01,8.2422e-04,6.8986e-05
3.5625e-01,1.5616e-04,-4.3294e-01,8.2420e-04,6.8981e-05
3.6000e-01,1.6114e-04,-4.3292e-01,8.2418e-04,6.8976e-05
3.6375e-01,1.6623e-04,-4.3291e-01,8.2416e-04,6.8971e-05
3.6750e-01,1.7142e-04,-4.3290e-01,8.2414e-04,6.8966e-05
3.7125e-01,1.7672e-04,-4.3289e-01,8.2412e-04,6.8960e-05
3.7500e-01,1.8213e-04,-4.3288e-01,8.2410e-04,6.8955e-05
3.7875e-01,1.8764e-04,-4.3286e-01,8.2408e-04,6.8949e-05
3.8250e-01,1.9327e-04,-4.3285e-01,8.2406e-04,6.8944e-05
3.8625e-01,1.9901e-04,-4.3284e-01,8.2404e-04,6.8938e-05
3.9000e-01,2.0486e-04,-4.3283e-01,8.2402e-04,6.8933e-05
3.9375e-01,2.1082e-04,-4.3281e-01,8.2399e-04,6.8927e-05
3.9750e-01,2.1690e-04,-4.3280e-01,8.2397e-04,6.8921e-05
4.0125e-01,2.2309e-04,-4.3279e-01,8.2395e-04,6.8916e-05
4.0500e-01,2.2940e-04,-4.3278e-01,8.2393e-04,6.8910e-05
4.0875e-01,2.3583e-04,-4.3276e-01,8.2391e-04,6.8904e-05
4.1250e-01,2.4237e-04,-4.3275e-01,8.2389e-04,6.8898e-05
4.1625e-01,2.4904e-04,-4.3274e-01,8.2386e-04,6.8892e-05
4.2000e-01,2.5583e-04,-4.3272e-01,8.2384e-04,6.8886e-05
4.2375e-01,2.6274e-04,-4.3271e-01,8.2382e-04,6.8880e-05
4.2750e-01,2.6977e-04,-4.3269e-01,8.2379e-04,6.8874e-05
4.3125e-01,2.7693e-04,-4.3268e-01,8.2377e-04,6.8867e-05
4.3500e-01,2.8421e-04,-4.3267e-01,8.2375e-04,6.8861e-05
4.3875e-01,2.9162e-04,-4.3265e-01,8.2372e-04,6.8855e-05
4.4250e-01,2.9915e-04,-4.3264e-01,8.2370e-04,6.8848e-05
4.4625e-01,3.0682e-04,-4.3262e-01,8.2368e-04,6.8842e-05
4.5000e-01,3.1461e-04,-4.3261e-01,8.2365e-04,6.8835e-05
4.5375e-01,3.2254e-04,-4.3259e-01,8.2363e-04,6.8829e-05
4.5750e-01,3.3060e-04,-4.3258e-01,8.2360e-04,6.8822e-05
4.6125e-01,3.3879e-04,-4.3256e-01,8.2358e-04,6.8816e-05
4.6500e-01,3.4711e-04,-4.3255e-01,8.2355e-04,6.8809e-05
4.6875e-01,3.5557e-04,-4.3253e-01,8.2353e-04,6.8802e-05
4.7250e-01,3.6416e-04,-4.3252e-01,8.2350e-04,6.8795e-05
4.7625e-01,3.7290e-04,-4.3250e-01,8.2348e-04,6.8789e-05
4.8000e-01,3.8177e-04,-4.3249e-01,8.2345e-04,6.8782e-05
4.8375e-01,3.9078e-04,-4.3247e-01,8.2343e-04,6.8775e-05
4.8750e-01,3.9993e-04,-4.3246e-01,8.2340e-04,6.8768e-05
4.9125e-01,4.0922e-04,-4.3244e-01,8.2337e-04,6.8761e-05
4.9500e-01,4.1866e-04,-4.3243e-01,8.2335e-04,6.8753e-05
4.9875e-01,4.2824e-04,-4.3241e-01,8.2332e-04,6.8746e-05
5.0250e-01,4.3796e-04,-4.3239e-01,8.2329e-04,6.8739e-05
5.0625e-01,4.4783e-04,-4.3238e-01,8.2327e-04,6.8732e-05
5.1000e-01,4.5785e-04,-4.3236e-01,8.2324e-04,6.8724e-05
5.1375e-01,4.6801e-04,-4.3234e-01,8.2321e-04,6.8717e-05
5.1750e-01,4.7832e-04,-4.3233e-01,8.2318e-04,6.8709e-05
5.2125e-01,4.8879e-04,-4.3231e-01,8.2315e-04,6.8702e-05
5.2500e-01,4.9940e-04,-4.3229e-01,8.2313e-04,6.8694e-05
5.2875e-01,5.1017e-04,-4.3228e-01,8.2310e-04,6.8687e-05
5.3250e-01,5.2109e-04,-4.3226e-01,8.2307e-04,6.8679e-05
5.3625e-01,5.3217e-04,-4.3224e-01,8.2304e-04,6.8671e-05
5.4000e-01,5.4340e-04,-4.3222e-01,8.2301e-04,6.8664e-05
5.4375e-01,5.5479e-04,-4.3221e-01,8.2298e-04,6.8656e-05
5.4750e-01,5.6633e-04,-4.3219e-01,8.2295e-04,6.8648e-05
5.5125e-01,5.7804e-04,-4.3217e-01,8.2292e-04,6.8640e-05
5.5500e-01,5.8990e-04,-4.3215e-01,8.2289e-04,6.8632e-05
5.5875e-01,6.0193e-04,-4.3213e-01,8.2286e-04,6.8624e-05
5.6250e-01,6.1411e-04,-4.3212e-01,8.2283e-04,6.8616e-05
5.6625e-01,6.2646e-04,-4.3210e-01,8.2280e-04,6.8608e-05
5.7000e-01,6.3898e-04,-4.3208e-01,8.2277e-04,6.8599e-05
5.7375e-01,6.5166e-04,-4.3206e-01,8.2274e-04,6.8591e-05
5.7750e-01,6.6450e-04,-4.3204e-01,8.2271e-04,6.8583e-05
5.8125e-01,6.7752e-04,-4.3202e-01,8.2268e-04,6.8575e-05
5.8500e-01,6.9070e-04,-4.3200e-01,8.2265e-04,6.8566e-05
5.8875e-01,7.0405e-04,-4.3199e-01,8.2261e-04,6.8558e-05
5.9250e-01,7.1757e-04,-4.3197e-01,8.2258e-04,6.8549e-05
5.9625e-01,7.3127e-04,-4.3195e-01,8.2255e-04,6.8540e-05
6.0000e-01,7.4514e-04,-4.3193e-01,8.2252e-04,6.8532e-05
6.0375e-01,7.5918e-04,-4.3191e-01,8.2249e-04,6.8523e-05
6.0750e-01,7.7339e-04,-4.3189e-01,8.2245e-04,6.8514e-05
6.1125e-01,7.8778e-04,-4.3187e-01,8.2242e-04,6.8506e-05
6.1500e-01,8.0235e-04,-4.3185e-01,8.2239e-04,6.8497e-05
6.1875e-01,8.1710e-04,-4.3183e-01,8.2235e-04,6.8488e-05
6.2250e-01,8.3203e-04,-4.3181e-01,8.2232e-04,6.8479e-05
