r,m,nu,rho,P
2.8875e-01,1.5127e-04,-9.0481e-01,1.4992e-03,2.7306e-04
2.9250e-01,1.5724e-04,-9.0479e-01,1.4991e-03,2.7304e-04
2.9625e-01,1.6336e-04,-9.0477e-01,1.4991e-03,2.7302e-04
3.0000e-01,1.6964e-04,-9.0474e-01,1.4990e-03,2.7300e-04
3.0375e-01,1.7607e-04,-9.0472e-01,1.4990e-03,2.7298e-04
3.0750e-01,1.8267e-04,-9.0470e-01,1.4989e-03,2.7296e-04
3.1125e-01,1.8943e-04,-9.0468e-01,1.4989e-03,2.7294e-04
3.1500e-01,1.9636e-04,-9.0466e-01,1.4988e-03,2.7292e-04
3.1875e-01,2.0345e-04,-9.0463e-01,1.4987e-03,2.7290e-04
3.2250e-01,2.1071e-04,-9.0461e-01,1.4987e-03,2.7288e-04
3.2625e-01,2.1814e-04,-9.0458e-01,1.4986e-03,2.7286e-04
3.3000e-01,2.2574e-04,-9.0456e-01,1.4986e-03,2.7284e-04
3.3375e-01,2.3352e-04,-9.0454e-01,1.4985e-03,2.7282e-04
3.3750e-01,2.4148e-04,-9.0451e-01,1.4984e-03,2.7279e-04
3.4125e-01,2.4961e-04,-9.0449e-01,1.4984e-03,2.7277e-04
3.4500e-01,2.5792e-04,-9.0446e-01,1.4983e-03,2.7275e-04
3.4875e-01,2.6642e-04,-9.0444e-01,1.4983e-03,2.7273e-04
3.5250e-01,2.7510e-04,-9.0441e-01,1.4982e-03,2.7270e-04
3.5625e-01,2.8396e-04,-9.0439e-01,1.4981e-03,2.7268e-04
3.6000e-01,2.9302e-04,-9.0436e-01,1.4981e-03,2.7266e-04
3.6375e-01,3.0226e-04,-9.0433e-01,1.4980e-03,2.7263e-04
3.6750e-01,3.1170e-04,-9.0431e-01,1.4979e-03,2.7261e-04
3.7125e-01,3.2133e-04,-9.0428e-01,1.4979e-03,2.7259e-04
3.7500e-01,3.3116e-04,-9.0425e-01,1.4978e-03,2.7256e-04
3.7875e-01,3.4118e-04,-9.0423e-01,1.4977e-03,2.7254e-04
3.8250e-01,3.5141e-04,-9.0420e-01,1.4976e-03,2.7251e-04
3.8625e-01,3.6183e-04,-9.0417e-01,1.4976e-03,2.7249e-04
3.9000e-01,3.7246e-04,-9.0414e-01,1.4975e-03,2.7246e-04
3.9375e-01,3.8330e-04,-9.0411e-01,1.4974e-03,2.7244e-04
3.9750e-01,3.9434e-04,-9.0408e-01,1.4974e-03,2.7241e-04
4.0125e-01,4.0560e-04,-9.0405e-01,1.4973e-03,2.7239e-04
4.0500e-01,4.1706e-04,-9.0403e-01,1.4972e-03,2.7236e-04
4.0875e-01,4.2874e-04,-9.0400e-01,1.4971e-03,2.7234e-04
4.1250e-01,4.4064e-04,-9.0397e-01,1.4971e-03,2.7231e-04
4.1625e-01,4.5275e-04,-9.0394e-01,1.4970e-03,2.7228e-04
4.2000e-01,4.6509e-04,-9.0390e-01,1.4969e-03,2.7226e-04
4.2375e-01,4.7764e-04,-9.0387e-01,1.4968e-03,2.7223e-04
4.2750e-01,4.9042e-04,-9.0384e-01,1.4968e-03,2.7220e-04
4.3125e-01,5.0342e-04,-9.0381e-01,1.4967e-03,2.7217e-04
4.3500e-01,5.1665e-04,-9.0378e-01,1.4966e-03,2.7215e-04
4.3875e-01,5.3011e-04,-9.0375e-01,1.4965e-03,2.7212e-04
4.4250e-01,5.4380e-04,-9.0372e-01,1.4964e-03,2.7209e-04
4.4625e-01,5.5773e-04,-9.0368e-01,1.4964e-03,2.7206e-04
4.5000e-01,5.7189e-04,-9.0365e-01,1.4963e-03,2.7203e-04
4.5375e-01,5.8629e-04,-9.0362e-01,1.4962e-03,2.7200e-04
4.5750e-01,6.0092e-04,-9.0358e-01,1.4961e-03,2.7197e-04
4.6125e-01,6.1580e-04,-9.0355e-01,1.4960e-03,2.7194e-04
4.6500e-01,6.3092e-04,-9.0352e-01,1.4959e-03,2.7191e-04
4.6875e-01,6.4629e-04,-9.0348e-01,1.4958e-03,2.7188e-04
4.7250e-01,6.6190e-04,-9.0345e-01,1.4958e-03,2.7185e-04
4.7625e-01,6.7776e-04,-9.0341e-01,1.4957e-03,2.7182e-04
4.8000e-01,6.9387e-04,-9.0338e-01,1.4956e-03,2.7179e-04
4.8375e-01,7.1024e-04,-9.0334e-01,1.4955e-03,2.7176e-04
4.8750e-01,7.2686e-04,-9.0331e-01,1.4954e-03,2.7173e-04
4.9125e-01,7.4373e-04,-9.0327e-01,1.4953e-03,2.7170e-04
4.9500e-01,7.6087e-04,-9.0324e-01,1.4952e-03,2.7167e-04
4.9875e-01,7.7826e-04,-9.0320e-01,1.4951e-03,2.7163e-04
5.0250e-01,7.9592e-04,-9.0317e-01,1.4950e-03,2.7160e-04
5.0625e-01,8.1384e-04,-9.0313e-01,1.4950e-03,2.7157e-04
5.1000e-01,8.3203e-04,-9.0309e-01,1.4949e-03,2.7154e-04
5.1375e-01,8.5049e-04,-9.0305e-01,1.4948e-03,2.7150e-04
5.1750e-01,8.6921e-04,-9.0302e-01,1.4947e-03,2.7147e-04
5.2125e-01,8.8821e-04,-9.0298e-01,1.4946e-03,2.7144e-04
5.2500e-01,9.0749e-04,-9.0294e-01,1.4945e-03,2.7140e-04
5.2875e-01,9.2704e-04,-9.0290e-01,1.4944e-03,2.7137e-04
5.3250e-01,9.4686e-04,-9.0286e-01,1.4943e-03,2.7134e-04
5.3625e-01,9.6697e-04,-9.0282e-01,1.4942e-03,2.7130e-04
5.4000e-01,9.8736e-04,-9.0279e-01,1.4941e-03,2.7127e-04
5.4375e-01,1.0080e-03,-9.0275e-01,1.4940e-03,2.7123e-04
5.4750e-01,1.0290e-03,-9.0271e-01,1.4939e-03,2.7120e-04
5.5125e-01,1.0502e-03,-9.0267e-01,1.4938e-03,2.7116e-04
5.5500e-01,1.0718e-03,-9.0263e-01,1.4937e-03,2.7113e-04
5.5875e-01,1.0936e-03,-9.0259e-01,1.4936e-03,2.7109e-04
5.6250e-01,1.1157e-03,-9.0254e-01,1.4935e-03,2.7105e-04
5.6625e-01,1.1381e-03,-9.0250e-01,1.4934e-03,2.7102e-04
5.7000e-01,1.1609e-03,-9.0246e-01,1.4933e-03,2.7098e-04
5.7375e-01,1.1839e-03,-9.0242e-01,1.4932e-03,2.7094e-04
5.7750e-01,1.2072e-03,-9.0238e-01,1.4931e-03,2.7091e-04
5.8125e-01,1.2308e-03,-9.0234e-01,1.4930e-03,2.7087e-04
5.8500e-01,1.2547e-03,-9.0229e-01,1.4929e-03,2.7083e-04
5.8875e-01,1.2789e-03,-9.0225e-01,1.4927e-03,2.7079e-04
5.9250e-01,1.3035e-03,-9.0221e-01,1.4926e-03,2.7076e-04
5.9625e-01,1.3283e-03,-9.0216e-01,1.4925e-03,2.7072e-04
6.0000e-01,1.3535e-03,-9.0212e-01,1.4924e-03,2.7068e-04
6.0375e-01,1.3790e-03,-9.0208e-01,1.4923e-03,2.7064e-04
6.0750e-01,1.4048e-03,-9.0203e-01,1.4922e-03,2.7060e-04
6.1125e-01,1.4309e-03,-9.0199e-01,1.4921e-03,2.7056e-04
6.1500e-01,1.4573e-03,-9.0194e-01,1.4920e-03,2.7052e-04
6.1875e-01,1.4841e-03,-9.0190e-01,1.4919e-03,2.7048e-04
6.2250e-01,1.5111e-03,-9.0185e-01,1.4917e-03,2.7044e-04
6.2625e-01,1.5385e-03,-9.0181e-01,1.4916e-03,2.7040e-04
6.3000e-01,1.5663e-03,-9.0176e-01,1.4915e-03,2.7036e-04
6.3375e-01,1.5943e-03,-9.0172e-01,1.4914e-03,2.7032e-04
6.3750e-01,1.6227e-03,-9.0167e-01,1.4913e-03,2.7028e-04
6.4125e-01,1.6515e-03,-9.0162e-01,1.4912e-03,2.7024e-04
6.4500e-01,1.6805e-03,-9.0158e-01,1.4910e-03,2.7020e-04
6.4875e-01,1.7099e-03,-9.0153e-01,1.4909e-03,2.7016e-04
6.5250e-01,1.7397e-03,-9.0148e-01,1.4908e-03,2.7012e-04
6.5625e-01,1.7697e-03,-9.0143e-01,1.4907e-03,2.7008e-04
6.6000e-01,1.8002e-03,-9.0139e-01,1.4906e-03,2.7003e-04
6.6375e-01,1.8309e-03,-9.0134e-01,1.4905e-03,2.6999e-04
6.6750e-01,1.8621e-03,-9.0129e-01,1.4903e-03,2.6995e-04
6.7125e-01,1.8935e-03,-9.0124e-01,1.4902e-03,2.6991e-04
6.7500e-01,1.9253e-03,-9.0119e-01,1.4901e-03,2.6986e-04
6.7875e-01,1.9575e-03,-9.0114e-01,1.4900e-03,2.6982e-04
6.8250e-01,1.9900e-03,-9.0109e-01,1.4898e-03,2.6978e-04
6.8625e-01,2.0229e-03,-9.0104e-01,1.4897e-03,2.6973e-04
6.9000e-01,2.0562e-03,-9.0099e-01,1.4896e-03,2.6969e-04
6.9375e-01,2.0898e-03,-9.0094e-01,1.4895e-03,2.6964e-04
6.9750e-01,2.1237e-03,-9.0089e-01,1.4893e-03,2.6960e-04
7.0125e-01,2.1580e-03,-9.0084e-01,1.4892e-03,2.6955e-04
7.0500e-01,2.1927e-03,-9.0079e-01,1.4891e-03,2.6951e-04
7.0875e-01,2.2278e-03,-9.0074e-01,1.4889e-03,2.6946e-04
7.1250e-01,2.2632e-03,-9.0069e-01,1.4888e-03,2.6942e-04
7.1625e-01,2.2990e-03,-9.0064e-01,1.4887e-03,2.6937e-04
7.2000e-01,2.3352e-03,-9.0058e-01,1.4886e-03,2.6933e-04
7.2375e-01,2.3718e-03,-9.0053e-01,1.4884e-03,2.6928e-04
7.2750e-01,2.4087e-03,-9.0048e-01,1.4883e-03,2.6923e-04
7.3125e-01,2.4460e-03,-9.0042e-01,1.4882e-03,2.6919e-04
7.3500e-01,2.4837e-03,-9.0037e-01,1.4880e-03,2.6914e-04
7.3875e-01,2.5218e-03,-9.0032e-01,1.4879e-03,2.6909e-04
7.4250e-01,2.5602e-03,-9.0026e-01,1.4877e-03,2.6905e-04
7.4625e-01,2.5991e-03,-9.0021e-01,1.4876e-03,2.6900e-04
7.5000e-01,2.6383e-03,-9.0016e-01,1.4875e-03,2.6895e-04
7.5375e-01,2.6779e-03,-9.0010e-01,1.4873e-03,2.6890e-04
7.5750e-01,2.7179e-03,-9.0005e-01,1.4872e-03,2.6885e-04
7.6125e-01,2.7584e-03,-8.9999e-01,1.4871e-03,2.6881e-04
7.6500e-01,2.7992e-03,-8.9993e-01,1.4869e-03,2.6876e-04
7.6875e-01,2.8404e-03,-8.9988e-01,1.4868e-03,2.6871e-04
7.7250e-01,2.8820e-03,-8.9982e-01,1.4866e-03,2.6866e-04
7.7625e-01,2.9240e-03,-8.9977e-01,1.4865e-03,2.6861e-04
7.8000e-01,2.9664e-03,-8.9971e-01,1.4864e-03,2.6856e-04
7.8375e-01,3.0092e-03,-8.9965e-01,1.4862e-03,2.6851e-04
7.8750e-01,3.0524e-03,-8.9960e-01,1.4861e-03,2.6846e-04
