r,m,nu,rho,P
0.0000e+00,0.0000e+00,-3.8790e-01,6.5912e-04,4.6401e-05
3.7500e-03,1.4559e-10,-3.8790e-01,6.5912e-04,4.6401e-05
7.5000e-03,1.1648e-09,-3.8790e-01,6.5912e-04,4.6400e-05
1.1250e-02,3.9311e-09,-3.8790e-01,6.5912e-04,4.6400e-05
1.5000e-02,9.3181e-09,-3.8790e-01,6.5912e-04,4.6400e-05
1.8750e-02,1.8199e-08,-3.8790e-01,6.5912e-04,4.6400e-05
2.2500e-02,3.1448e-08,-3.8790e-01,6.5911e-04,4.6400e-05
2.6250e-02,4.9939e-08,-3.8790e-01,6.5911e-04,4.6400e-05
3.0000e-02,7.4544e-08,-3.8790e-01,6.5911e-04,4.6399e-05
3.3750e-02,1.0614e-07,-3.8790e-01,6.5911e-04,4.6399e-05
3.7500e-02,1.4559e-07,-3.8790e-01,6.5911e-04,4.6399e-05
4.1250e-02,1.9378e-07,-3.8790e-01,6.5911e-04,4.6399e-05
4.5000e-02,2.5158e-07,-3.8790e-01,6.5911e-04,4.6398e-05
4.8750e-02,3.1987e-07,-3.8789e-01,6.5910e-04,4.6398e-05
5.2500e-02,3.9951e-07,-3.8789e-01,6.5910e-04,4.6397e-05
5.6250e-02,4.9137e-07,-3.8789e-01,6.5910e-04,4.6397e-05
6.0000e-02,5.9634e-07,-3.8789e-01,6.5909e-04,4.6396e-05
6.3750e-02,7.1529e-07,-3.8789e-01,6.5909e-04,4.6396e-05
6.7500e-02,8.4909e-07,-3.8789e-01,6.5909e-04,4.6395e-05
7.1250e-02,9.9860e-07,-3.8789e-01,6.5909e-04,4.6395e-05
7.5000e-02,1.1647e-06,-3.8788e-01,6.5908e-04,4.6394e-05
7.8750e-02,1.3483e-06,-3.8788e-01,6.5908e-04,4.6393e-05
8.2500e-02,1.5502e-06,-3.8788e-01,6.5907e-04,4.6393e-05
8.6250e-02,1.7714e-06,-3.8788e-01,6.5907e-04,4.6392e-05
9.0000e-02,2.0126e-06,-3.8788e-01,6.5907e-04,4.6391e-05
9.3750e-02,2.2748e-06,-3.8787e-01,6.5906e-04,4.6390e-05
9.7500e-02,2.5588e-06,-3.8787e-01,6.5906e-04,4.6389e-05
1.0125e-01,2.8656e-06,-3.8787e-01,6.5905e-04,4.6388e-05
1.0500e-01,3.1959e-06,-3.8787e-01,6.5905e-04,4.6388e-05
1.0875e-01,3.5507e-06,-3.8786e-01,6.5904e-04,4.6387e-05
1.1250e-01,3.9308e-06,-3.8786e-01,6.5904e-04,4.6386e-05
