r,m,nu,rho,P
0.0000e+00,0.0000e+00,-8.2407e-01,1.2146e-03,1.9905e-04
3.7500e-03,2.6830e-10,-8.2407e-01,1.2146e-03,1.9905e-04
7.5000e-03,2.1464e-09,-8.2407e-01,1.2146e-03,1.9905e-04
1.1250e-02,7.2439e-09,-8.2407e-01,1.2146e-03,1.9905e-04
1.5000e-02,1.7171e-08,-8.2407e-01,1.2146e-03,1.9905e-04
1.8750e-02,3.3537e-08,-8.2407e-01,1.2146e-03,1.9905e-04
2.2500e-02,5.7951e-08,-8.2407e-01,1.2146e-03,1.9905e-04
2.6250e-02,9.2024e-08,-8.2407e-01,1.2146e-03,1.9905e-04
3.0000e-02,1.3737e-07,-8.2407e-01,1.2146e-03,1.9905e-04
3.3750e-02,1.9558e-07,-8.2406e-01,1.2146e-03,1.9905e-04
3.7500e-02,2.6829e-07,-8.2406e-01,1.2146e-03,1.9905e-04
4.1250e-02,3.5709e-07,-8.2406e-01,1.2146e-03,1.9904e-04
4.5000e-02,4.6361e-07,-8.2406e-01,1.2146e-03,1.9904e-04
4.8750e-02,5.8943e-07,-8.2405e-01,1.2146e-03,1.9904e-04
5.2500e-02,7.3618e-07,-8.2405e-01,1.2145e-03,1.9904e-04
5.6250e-02,9.0547e-07,-8.2405e-01,1.2145e-03,1.9904e-04
6.0000e-02,1.0989e-06,-8.2405e-01,1.2145e-03,1.9903e-04
6.3750e-02,1.3181e-06,-8.2404e-01,1.2145e-03,1.9903e-04
6.7500e-02,1.5646e-06,-8.2404e-01,1.2145e-03,1.9903e-04
7.1250e-02,1.8402e-06,-8.2403e-01,1.2145e-03,1.9903e-04
7.5000e-02,2.1463e-06,-8.2403e-01,1.2145e-03,1.9902e-04
7.8750e-02,2.4846e-06,-8.2403e-01,1.2145e-03,1.9902e-04
8.2500e-02,2.8566e-06,-8.2402e-01,1.2145e-03,1.9902e-04
8.6250e-02,3.2641e-06,-8.2402e-01,1.2145e-03,1.9901e-04
9.0000e-02,3.7087e-06,-8.2401e-01,1.2145e-03,1.9901e-04
9.3750e-02,4.1918e-06,-8.2401e-01,1.2145e-03,1.9901e-04
9.7500e-02,4.7152e-06,-8.2400e-01,1.2144e-03,1.9900e-04
1.0125e-01,5.2804e-06,-8.2400e-01,1.2144e-03,1.9900e-04
1.0500e-01,5.8891e-06,-8.2399e-01,1.2144e-03,1.9899e-04
1.0875e-01,6.5428e-06,-8.2398e-01,1.2144e-03,1.9899e-04
1.1250e-01,7.2432e-06,-8.2398e-01,1.2144e-03,1.9898e-04
1.1625e-01,7.9919e-06,-8.2397e-01,1.2144e-03,1.9898e-04
1.2000e-01,8.7905e-06,-8.2396e-01,1.2144e-03,1.9898e-04
1.2375e-01,9.6406e-06,-8.2396e-01,1.2144e-03,1.9897e-04
1.2750e-01,1.0544e-05,-8.2395e-01,1.2143e-03,1.9897e-04
1.3125e-01,1.1502e-05,-8.2394e-01,1.2143e-03,1.9896e-04
1.3500e-01,1.2516e-05,-8.2393e-01,1.2143e-03,1.9895e-04
1.3875e-01,1.3588e-05,-8.2393e-01,1.2143e-03,1.9895e-04
1.4250e-01,1.4720e-05,-8.2392e-01,1.2143e-03,1.9894e-04
1.4625e-01,1.5912e-05,-8.2391e-01,1.2143e-03,1.9894e-04
1.5000e-01,1.7168e-05,-8.2390e-01,1.2142e-03,1.9893e-04
1.5375e-01,1.8488e-05,-8.2389e-01,1.2142e-03,1.9893e-04
1.5750e-01,1.9874e-05,-8.2388e-01,1.2142e-03,1.9892e-04
1.6125e-01,2.1327e-05,-8.2388e-01,1.2142e-03,1.9891e-04
1.6500e-01,2.2850e-05,-8.2387e-01,1.2142e-03,1.9891e-04
1.6875e-01,2.4443e-05,-8.2386e-01,1.2142e-03,1.9890e-04
1.7250e-01,2.6109e-05,-8.2385e-01,1.2141e-03,1.9889e-04
1.7625e-01,2.7849e-05,-8.2384e-01,1.2141e-03,1.9889e-04
1.8000e-01,2.9664e-05,-8.2383e-01,1.2141e-03,1.9888e-04
1.8375e-01,3.1556e-05,-8.2382e-01,1.2141e-03,1.9887e-04
1.8750e-01,3.3528e-05,-8.2381e-01,1.2140e-03,1.9886e-04
1.9125e-01,3.5580e-05,-8.2380e-01,1.2140e-03,1.9886e-04
1.9500e-01,3.7713e-05,-8.2378e-01,1.2140e-03,1.9885e-04
1.9875e-01,3.9931e-05,-8.2377e-01,1.2140e-03,1.9884e-04
2.0250e-01,4.2234e-05,-8.2376e-01,1.2140e-03,1.9883e-04
2.0625e-01,4.4623e-05,-8.2375e-01,1.2139e-03,1.9882e-04
2.1000e-01,4.7101e-05,-8.2374e-01,1.2139e-03,1.9882e-04
2.1375e-01,4.9669e-05,-8.2373e-01,1.2139e-03,1.9881e-04
2.1750e-01,5.2329e-05,-8.2371e-01,1.2139e-03,1.9880e-04
2.2125e-01,5.5082e-05,-8.2370e-01,1.2138e-03,1.9879e-04
2.2500e-01,5.7929e-05,-8.2369e-01,1.2138e-03,1.9878e-04
2.2875e-01,6.0874e-05,-8.2368e-01,1.2138e-03,1.9877e-04
2.3250e-01,6.3916e-05,-8.2366e-01,1.2138e-03,1.9876e-04
2.3625e-01,6.7058e-05,-8.2365e-01,1.2137e-03,1.9875e-04
2.4000e-01,7.0301e-05,-8.2364e-01,1.2137e-03,1.9874e-04
2.4375e-01,7.3647e-05,-8.2362e-01,1.2137e-03,1.9873e-04
2.4750e-01,7.7098e-05,-8.2361e-01,1.2137e-03,1.9872e-04
2.5125e-01,8.0654e-05,-8.2359e-01,1.2136e-03,1.9871e-04
2.5500e-01,8.4319e-05,-8.2358e-01,1.2136e-03,1.9870e-04
2.5875e-01,8.8092e-05,-8.2356e-01,1.2136e-03,1.9869e-04
2.6250e-01,9.1977e-05,-8.2355e-01,1.2135e-03,1.9868e-04
2.6625e-01,9.5974e-05,-8.2353e-01,1.2135e-03,1.9867e-04
2.7000e-01,1.0009e-04,-8.2352e-01,1.2135e-03,1.9866e-04
2.7375e-01,1.0431e-04,-8.2350e-01,1.2134e-03,1.9865e-04
2.7750e-01,1.0866e-04,-8.2349e-01,1.2134e-03,1.9864e-04
2.8125e-01,1.1312e-04,-8.2347e-01,1.2134e-03,1.9863e-04
2.8500e-01,1.1770e-04,-8.2346e-01,1.2133e-03,1.9862e-04
2.8875e-01,1.2241e-04,-8.2344e-01,1.2133e-03,1.9861e-04
