r,m,nu,rho,P
2.8875e-01,1.0332e-04,-6.8547e-01,1.0242e-03,1.3632e-04
2.9250e-01,1.0740e-04,-6.8545e-01,1.0241e-03,1.3632e-04
2.9625e-01,1.1158e-04,-6.8544e-01,1.0241e-03,1.3631e-04
3.0000e-01,1.1587e-04,-6.8543e-01,1.0241e-03,1.3630e-04
3.0375e-01,1.2027e-04,-6.8541e-01,1.0241e-03,1.3629e-04
3.0750e-01,1.2477e-04,-6.8540e-01,1.0240e-03,1.3629e-04
3.1125e-01,1.2939e-04,-6.8539e-01,1.0240e-03,1.3628e-04
3.1500e-01,1.3412e-04,-6.8537e-01,1.0240e-03,1.3627e-04
3.1875e-01,1.3897e-04,-6.8536e-01,1.0240e-03,1.3626e-04
3.2250e-01,1.4393e-04,-6.8534e-01,1.0239e-03,1.3625e-04
3.2625e-01,1.4901e-04,-6.8533e-01,1.0239e-03,1.3624e-04
3.3000e-01,1.5420e-04,-6.8531e-01,1.0239e-03,1.3624e-04
3.3375e-01,1.5952e-04,-6.8530e-01,1.0238e-03,1.3623e-04
3.3750e-01,1.6495e-04,-6.8528e-01,1.0238e-03,1.3622e-04
3.4125e-01,1.7051e-04,-6.8527e-01,1.0238e-03,1.3621e-04
3.4500e-01,1.7619e-04,-6.8525e-01,1.0238e-03,1.3620e-04
3.4875e-01,1.8199e-04,-6.8524e-01,1.0237e-03,1.3619e-04
3.5250e-01,1.8792e-04,-6.8522e-01,1.0237e-03,1.3618e-04
3.5625e-01,1.9398e-04,-6.8521e-01,1.0237e-03,1.3617e-04
3.6000e-01,2.0017e-04,-6.8519e-01,1.0236e-03,1.3616e-04
3.6375e-01,2.0648e-04,-6.8517e-01,1.0236e-03,1.3615e-04
3.6750e-01,2.1293e-04,-6.8516e-01,1.0236e-03,1.3614e-04
3.7125e-01,2.1951e-04,-6.8514e-01,1.0235e-03,1.3613e-04
3.7500e-01,2.2623e-04,-6.8512e-01,1.0235e-03,1.3612e-04
3.7875e-01,2.3308e-04,-6.8511e-01,1.0235e-03,1.3611e-04
3.8250e-01,2.4007e-04,-6.8509e-01,1.0234e-03,1.3610e-04
3.8625e-01,2.4719e-04,-6.8507e-01,1.0234e-03,1.3609e-04
3.9000e-01,2.5446e-04,-6.8505e-01,1.0234e-03,1.3608e-04
3.9375e-01,2.6186e-04,-6.8504e-01,1.0233e-03,1.3607e-04
3.9750e-01,2.6941e-04,-6.8502e-01,1.0233e-03,1.3606e-04
4.0125e-01,2.7710e-04,-6.8500e-01,1.0233e-03,1.3605e-04
4.0500e-01,2.8494e-04,-6.8498e-01,1.0232e-03,1.3604e-04
4.0875e-01,2.9292e-04,-6.8496e-01,1.0232e-03,1.3603e-04
4.1250e-01,3.0105e-04,-6.8495e-01,1.0232e-03,1.3602e-04
4.1625e-01,3.0933e-04,-6.8493e-01,1.0231e-03,1.3601e-04
4.2000e-01,3.1776e-04,-6.8491e-01,1.0231e-03,1.3600e-04
4.2375e-01,3.2634e-04,-6.8489e-01,1.0231e-03,1.3599e-04
4.2750e-01,3.3507e-04,-6.8487e-01,1.0230e-03,1.3598e-04
4.3125e-01,3.4396e-04,-6.8485e-01,1.0230e-03,1.3597e-04
4.3500e-01,3.5300e-04,-6.8483e-01,1.0230e-03,1.3596e-04
4.3875e-01,3.6221e-04,-6.8481e-01,1.0229e-03,1.3594e-04
4.4250e-01,3.7156e-04,-6.8479e-01,1.0229e-03,1.3593e-04
4.4625e-01,3.8108e-04,-6.8477e-01,1.0228e-03,1.3592e-04
4.5000e-01,3.9076e-04,-6.8475e-01,1.0228e-03,1.3591e-04
4.5375e-01,4.0060e-04,-6.8473e-01,1.0228e-03,1.3590e-04
4.5750e-01,4.1061e-04,-6.8471e-01,1.0227e-03,1.3589e-04
4.6125e-01,4.2078e-04,-6.8469e-01,1.0227e-03,1.3587e-04
4.6500e-01,4.3112e-04,-6.8467e-01,1.0227e-03,1.3586e-04
4.6875e-01,4.4162e-04,-6.8465e-01,1.0226e-03,1.3585e-04
4.7250e-01,4.5229e-04,-6.8463e-01,1.0226e-03,1.3584e-04
4.7625e-01,4.6314e-04,-6.8461e-01,1.0225e-03,1.3582e-04
4.8000e-01,4.7415e-04,-6.8458e-01,1.0225e-03,1.3581e-04
4.8375e-01,4.8534e-04,-6.8456e-01,1.0224e-03,1.3580e-04
4.8750e-01,4.9670e-04,-6.8454e-01,1.0224e-03,1.3579e-04
4.9125e-01,5.0824e-04,-6.8452e-01,1.0224e-03,1.3577e-04
4.9500e-01,5.1996e-04,-6.8450e-01,1.0223e-03,1.3576e-04
4.9875e-01,5.3185e-04,-6.8447e-01,1.0223e-03,1.3575e-04
5.0250e-01,5.4392e-04,-6.8445e-01,1.0222e-03,1.3574e-04
5.0625e-01,5.5618e-04,-6.8443e-01,1.0222e-03,1.3572e-04
5.1000e-01,5.6861e-04,-6.8441e-01,1.0222e-03,1.3571e-04
5.1375e-01,5.8123e-04,-6.8438e-01,1.0221e-03,1.3570e-04
5.1750e-01,5.9404e-04,-6.8436e-01,1.0221e-03,1.3568e-04
5.2125e-01,6.0703e-04,-6.8434e-01,1.0220e-03,1.3567e-04
5.2500e-01,6.2021e-04,-6.8431e-01,1.0220e-03,1.3565e-04
5.2875e-01,6.3358e-04,-6.8429e-01,1.0219e-03,1.3564e-04
5.3250e-01,6.4714e-04,-6.8426e-01,1.0219e-03,1.3563e-04
5.3625e-01,6.6089e-04,-6.8424e-01,1.0218e-03,1.3561e-04
5.4000e-01,6.7483e-04,-6.8422e-01,1.0218e-03,1.3560e-04
5.4375e-01,6.8897e-04,-6.8419e-01,1.0217e-03,1.3559e-04
5.4750e-01,7.0331e-04,-6.8417e-01,1.0217e-03,1.3557e-04
5.5125e-01,7.1784e-04,-6.8414e-01,1.0217e-03,1.3556e-04
5.5500e-01,7.3257e-04,-6.8412e-01,1.0216e-03,1.3554e-04
5.5875e-01,7.4750e-04,-6.8409e-01,1.0216e-03,1.3553e-04
5.6250e-01,7.6263e-04,-6.8407e-01,1.0215e-03,1.3551e-04
5.6625e-01,7.7796e-04,-6.8404e-01,1.0215e-03,1.3550e-04
5.7000e-01,7.9349e-04,-6.8402e-01,1.0214e-03,1.3548e-04
5.7375e-01,8.0924e-04,-6.8399e-01,1.0214e-03,1.3547e-04
5.7750e-01,8.2518e-04,-6.8396e-01,1.0213e-03,1.3545e-04
5.8125e-01,8.4134e-04,-6.8394e-01,1.0213e-03,1.3544e-04
5.8500e-01,8.5770e-04,-6.8391e-01,1.0212e-03,1.3542e-04
5.8875e-01,8.7428e-04,-6.8389e-01,1.0212e-03,1.3541e-04
5.9250e-01,8.9106e-04,-6.8386e-01,1.0211e-03,1.3539e-04
5.9625e-01,9.0806e-04,-6.8383e-01,1.0211e-03,1.3538e-04
6.0000e-01,9.2528e-04,-6.8381e-01,1.0210e-03,1.3536e-04
6.0375e-01,9.4270e-04,-6.8378e-01,1.0210e-03,1.3535e-04
6.0750e-01,9.6035e-04,-6.8375e-01,1.0209e-03,1.3533e-04
6.1125e-01,9.7822e-04,-6.8372e-01,1.0209e-03,1.3531e-04
