r,m,nu,rho,P
0.0000e+00,0.0000e+00,-4.7562e-01,7.6438e-04,6.7474e-05
3.7500e-03,1.6885e-10,-4.7562e-01,7.6438e-04,6.7473e-05
7.5000e-03,1.3508e-09,-4.7562e-01,7.6438e-04,6.7473e-05
1.1250e-02,4.5589e-09,-4.7562e-01,7.6438e-04,6.7473e-05
1.5000e-02,1.0806e-08,-4.7562e-01,7.6438e-04,6.7473e-05
1.8750e-02,2.1106e-08,-4.7562e-01,7.6438e-04,6.7473e-05
2.2500e-02,3.6471e-08,-4.7562e-01,7.6438e-04,6.7473e-05
2.6250e-02,5.7914e-08,-4.7562e-01,7.6438e-04,6.7472e-05
3.0000e-02,8.6449e-08,-4.7562e-01,7.6438e-04,6.7472e-05
3.3750e-02,1.2309e-07,-4.7562e-01,7.6437e-04,6.7472e-05
3.7500e-02,1.6885e-07,-4.7562e-01,7.6437e-04,6.7471e-05
4.1250e-02,2.2473e-07,-4.7561e-01,7.6437e-04,6.7471e-05
4.5000e-02,2.9176e-07,-4.7561e-01,7.6437e-04,6.7470e-05
4.8750e-02,3.7095e-07,-4.7561e-01,7.6437e-04,6.7470e-05
5.2500e-02,4.6331e-07,-4.7561e-01,7.6436e-04,6.7469e-05
5.6250e-02,5.6985e-07,-4.7561e-01,7.6436e-04,6.7468e-05
6.0000e-02,6.9158e-07,-4.7561e-01,7.6436e-04,6.7467e-05
6.3750e-02,8.2953e-07,-4.7560e-01,7.6435e-04,6.7467e-05
6.7500e-02,9.8469e-07,-4.7560e-01,7.6435e-04,6.7466e-05
7.1250e-02,1.1581e-06,-4.7560e-01,7.6434e-04,6.7465e-05
7.5000e-02,1.3507e-06,-4.7560e-01,7.6434e-04,6.7464e-05
7.8750e-02,1.5636e-06,-4.7560e-01,7.6434e-04,6.7463e-05
8.2500e-02,1.7978e-06,-4.7559e-01,7.6433e-04,6.7462e-05
8.6250e-02,2.0543e-06,-4.7559e-01,7.6433e-04,6.7461e-05
9.0000e-02,2.3340e-06,-4.7559e-01,7.6432e-04,6.7460e-05
9.3750e-02,2.6381e-06,-4.7559e-01,7.6432e-04,6.7459e-05
9.7500e-02,2.9675e-06,-4.7558e-01,7.6431e-04,6.7458e-05
1.0125e-01,3.3232e-06,-4.7558e-01,7.6430e-04,6.7456e-05
1.0500e-01,3.7063e-06,-4.7558e-01,7.6430e-04,6.7455e-05
1.0875e-01,4.1177e-06,-4.7557e-01,7.6429e-04,6.7454e-05
1.1250e-01,4.5585e-06,-4.7557e-01,7.6429e-04,6.7452e-05
1.1625e-01,5.0297e-06,-4.7557e-01,7.6428e-04,6.7451e-05
1.2000e-01,5.5323e-06,-4.7556e-01,7.6427e-04,6.7449e-05
1.2375e-01,6.0673e-06,-4.7556e-01,7.6427e-04,6.7448e-05
1.2750e-01,6.6357e-06,-4.7556e-01,7.6426e-04,6.7446e-05
1.3125e-01,7.2386e-06,-4.7555e-01,7.6425e-04,6.7445e-05
1.3500e-01,7.8769e-06,-4.7555e-01,7.6424e-04,6.7443e-05
1.3875e-01,8.5516e-06,-4.7554e-01,7.6424e-04,6.7441e-05
1.4250e-01,9.2638e-06,-4.7554e-01,7.6423e-04,6.7439e-05
1.4625e-01,1.0015e-05,-4.7553e-01,7.6422e-04,6.7437e-05
1.5000e-01,1.0805e-05,-4.7553e-01,7.6421e-04,6.7436e-05
1.5375e-01,1.1635e-05,-4.7553e-01,7.6420e-04,6.7434e-05
1.5750e-01,1.2508e-05,-4.7552e-01,7.6419e-04,6.7432e-05
1.6125e-01,1.3422e-05,-4.7552e-01,7.6418e-04,6.7430e-05
1.6500e-01,1.4381e-05,-4.7551e-01,7.6418e-04,6.7428e-05
1.6875e-01,1.5384e-05,-4.7551e-01,7.6417e-04,6.7426e-05
1.7250e-01,1.6432e-05,-4.7550e-01,7.6416e-04,6.7423e-05
1.7625e-01,1.7527e-05,-4.7550e-01,7.6415e-04,6.7421e-05
1.8000e-01,1.8670e-05,-4.7549e-01,7.6414e-04,6.7419e-05
1.8375e-01,1.9861e-05,-4.7548e-01,7.6413e-04,6.7417e-05
1.8750e-01,2.1101e-05,-4.7548e-01,7.6411e-04,6.7414e-05
1.9125e-01,2.2393e-05,-4.7547e-01,7.6410e-04,6.7412e-05
1.9500e-01,2.3736e-05,-4.7547e-01,7.6409e-04,6.7409e-05
1.9875e-01,2.5131e-05,-4.7546e-01,7.6408e-04,6.7407e-05
2.0250e-01,2.6581e-05,-4.7545e-01,7.6407e-04,6.7404e-05
2.0625e-01,2.8085e-05,-4.7545e-01,7.6406e-04,6.7402e-05
2.1000e-01,2.9644e-05,-4.7544e-01,7.6405e-04,6.7399e-05
2.1375e-01,3.1261e-05,-4.7544e-01,7.6403e-04,6.7397e-05
2.1750e-01,3.2935e-05,-4.7543e-01,7.6402e-04,6.7394e-05
2.2125e-01,3.4667e-05,-4.7542e-01,7.6401e-04,6.7391e-05
2.2500e-01,3.6460e-05,-4.7542e-01,7.6400e-04,6.7388e-05
2.2875e-01,3.8313e-05,-4.7541e-01,7.6398e-04,6.7385e-05
2.3250e-01,4.0228e-05,-4.7540e-01,7.6397e-04,6.7383e-05
2.3625e-01,4.2206e-05,-4.7540e-01,7.6396e-04,6.7380e-05
2.4000e-01,4.4247e-05,-4.7539e-01,7.6394e-04,6.7377e-05
2.4375e-01,4.6353e-05,-4.7538e-01,7.6393e-04,6.7373e-05
2.4750e-01,4.8525e-05,-4.7537e-01,7.6391e-04,6.7370e-05
2.5125e-01,5.0764e-05,-4.7537e-01,7.6390e-04,6.7367e-05
2.5500e-01,5.3070e-05,-4.7536e-01,7.6389e-04,6.7364e-05
2.5875e-01,5.5445e-05,-4.7535e-01,7.6387e-04,6.7361e-05
2.6250e-01,5.7891e-05,-4.7534e-01,7.6386e-04,6.7358e-05
2.6625e-01,6.0407e-05,-4.7533e-01,7.6384e-04,6.7354e-05
2.7000e-01,6.2994e-05,-4.7533e-01,7.6383e-04,6.7351e-05
2.7375e-01,6.5655e-05,-4.7532e-01,7.6381e-04,6.7347e-05
2.7750e-01,6.8389e-05,-4.7531e-01,7.6379e-04,6.7344e-05
2.8125e-01,7.1199e-05,-4.7530e-01,7.6378e-04,6.7340e-05
2.8500e-01,7.4084e-05,-4.7529e-01,7.6376e-04,6.7337e-05
2.8875e-01,7.7046e-05,-4.7528e-01,7.6375e-04,6.7333e-05
2.9250e-01,8.0086e-05,-4.7527e-01,7.6373e-04,6.7330e-05
2.9625e-01,8.3204e-05,-4.7527e-01,7.6371e-04,6.7326e-05
3.0000e-01,8.6403e-05,-4.7526e-01,7.6369e-04,6.7322e-05
3.0375e-01,8.9683e-05,-4.7525e-01,7.6368e-04,6.7318e-05
3.0750e-01,9.3044e-05,-4.7524e-01,7.6366e-04,6.7314e-05
3.1125e-01,9.6488e-05,-4.7523e-01,7.6364e-04,6.7310e-05
3.1500e-01,1.0002e-04,-4.7522e-01,7.6362e-04,6.7307e-05
3.1875e-01,1.0363e-04,-4.7521e-01,7.6361e-04,6.7303e-05
3.2250e-01,1.0733e-04,-4.7520e-01,7.6359e-04,6.7298e-05
