r,m,nu,rho,P
2.8875e-01,1.3172e-04,-6.9049e-01,1.3056e-03,1.8128e-04
2.9250e-01,1.3691e-04,-6.9047e-01,1.3056e-03,1.8127e-04
2.9625e-01,1.4224e-04,-6.9045e-01,1.3055e-03,1.8126e-04
3.0000e-01,1.4771e-04,-6.9044e-01,1.3055e-03,1.8124e-04
3.0375e-01,1.5332e-04,-6.9042e-01,1.3055e-03,1.8123e-04
3.0750e-01,1.5906e-04,-6.9040e-01,1.3054e-03,1.8122e-04
3.1125e-01,1.6495e-04,-6.9038e-01,1.3054e-03,1.8120e-04
3.1500e-01,1.7098e-04,-6.9037e-01,1.3054e-03,1.8119e-04
3.1875e-01,1.7716e-04,-6.9035e-01,1.3053e-03,1.8118e-04
3.2250e-01,1.8348e-04,-6.9033e-01,1.3053e-03,1.8116e-04
3.2625e-01,1.8996e-04,-6.9031e-01,1.3053e-03,1.8115e-04
3.3000e-01,1.9658e-04,-6.9029e-01,1.3052e-03,1.8113e-04
3.3375e-01,2.0335e-04,-6.9027e-01,1.3052e-03,1.8112e-04
3.3750e-01,2.1028e-04,-6.9025e-01,1.3051e-03,1.8111e-04
3.4125e-01,2.1736e-04,-6.9023e-01,1.3051e-03,1.8109e-04
3.4500e-01,2.2461e-04,-6.9021e-01,1.3051e-03,1.8108e-04
3.4875e-01,2.3201e-04,-6.9019e-01,1.3050e-03,1.8106e-04
3.5250e-01,2.3957e-04,-6.9017e-01,1.3050e-03,1.8105e-04
3.5625e-01,2.4729e-04,-6.9015e-01,1.3049e-03,1.8103e-04
3.6000e-01,2.5518e-04,-6.9013e-01,1.3049e-03,1.8102e-04
3.6375e-01,2.6323e-04,-6.9011e-01,1.3049e-03,1.8100e-04
3.6750e-01,2.7145e-04,-6.9009e-01,1.3048e-03,1.8098e-04
3.7125e-01,2.7984e-04,-6.9007e-01,1.3048e-03,1.8097e-04
3.7500e-01,2.8840e-04,-6.9004e-01,1.3047e-03,1.8095e-04
3.7875e-01,2.9713e-04,-6.9002e-01,1.3047e-03,1.8094e-04
3.8250e-01,3.0604e-04,-6.9000e-01,1.3046e-03,1.8092e-04
3.8625e-01,3.1512e-04,-6.8998e-01,1.3046e-03,1.8090e-04
