r,m,nu,rho,P
2.8875e-01,1.0804e-04,-6.1612e-01,1.0708e-03,1.2072e-04
2.9250e-01,1.1230e-04,-6.1611e-01,1.0707e-03,1.2071e-04
2.9625e-01,1.1667e-04,-6.1609e-01,1.0707e-03,1.2071e-04
3.0000e-01,1.2116e-04,-6.1608e-01,1.0707e-03,1.2070e-04
3.0375e-01,1.2575e-04,-6.1607e-01,1.0706e-03,1.2069e-04
3.0750e-01,1.3047e-04,-6.1605e-01,1.0706e-03,1.2068e-04
3.1125e-01,1.3530e-04,-6.1604e-01,1.0705e-03,1.2067e-04
3.1500e-01,1.4024e-04,-6.1603e-01,1.0705e-03,1.2066e-04
3.1875e-01,1.4531e-04,-6.1601e-01,1.0705e-03,1.2066e-04
3.2250e-01,1.5049e-04,-6.1600e-01,1.0704e-03,1.2065e-04
3.2625e-01,1.5580e-04,-6.1598e-01,1.0704e-03,1.2064e-04
3.3000e-01,1.6123e-04,-6.1597e-01,1.0704e-03,1.2063e-04
3.3375e-01,1.6679e-04,-6.1595e-01,1.0703e-03,1.2062e-04
3.3750e-01,1.7247e-04,-6.1594e-01,1.0703e-03,1.2061e-04
3.4125e-01,1.7828e-04,-6.1592e-01,1.0702e-03,1.2060e-04
3.4500e-01,1.8421e-04,-6.1591e-01,1.0702e-03,1.2059e-04
3.4875e-01,1.9028e-04,-6.1589e-01,1.0701e-03,1.2058e-04
3.5250e-01,1.9648e-04,-6.1588e-01,1.0701e-03,1.2057e-04
3.5625e-01,2.0281e-04,-6.1586e-01,1.0701e-03,1.2057e-04
3.6000e-01,2.0928e-04,-6.1584e-01,1.0700e-03,1.2056e-04
3.6375e-01,2.1588e-04,-6.1583e-01,1.0700e-03,1.2055e-04
3.6750e-01,2.2262e-04,-6.1581e-01,1.0699e-03,1.2054e-04
3.7125e-01,2.2950e-04,-6.1579e-01,1.0699e-03,1.2053e-04
3.7500e-01,2.3652e-04,-6.1578e-01,1.0698e-03,1.2052e-04
3.7875e-01,2.4368e-04,-6.1576e-01,1.0698e-03,1.2051e-04
3.8250e-01,2.5099e-04,-6.1574e-01,1.0697e-03,1.2050e-04
