r,m,nu,rho,P
0.0000e+00,0.0000e+00,-6.7767e-01,1.2923e-03,1.6722e-04
3.7500e-03,2.8547e-10,-6.7767e-01,1.2923e-03,1.6722e-04
7.5000e-03,2.2837e-09,-6.7767e-01,1.2923e-03,1.6722e-04
1.1250e-02,7.7076e-09,-6.7767e-01,1.2923e-03,1.6722e-04
1.5000e-02,1.8270e-08,-6.7767e-01,1.2923e-03,1.6722e-04
1.8750e-02,3.5683e-08,-6.7767e-01,1.2923e-03,1.6722e-04
2.2500e-02,6.1660e-08,-6.7767e-01,1.2923e-03,1.6722e-04
2.6250e-02,9.7914e-08,-6.7766e-01,1.2923e-03,1.6722e-04
3.0000e-02,1.4616e-07,-6.7766e-01,1.2923e-03,1.6722e-04
3.3750e-02,2.0810e-07,-6.7766e-01,1.2923e-03,1.6722e-04
3.7500e-02,2.8546e-07,-6.7766e-01,1.2923e-03,1.6722e-04
4.1250e-02,3.7995e-07,-6.7766e-01,1.2923e-03,1.6722e-04
4.5000e-02,4.9328e-07,-6.7765e-01,1.2923e-03,1.6721e-04
4.8750e-02,6.2716e-07,-6.7765e-01,1.2923e-03,1.6721e-04
5.2500e-02,7.8330e-07,-6.7765e-01,1.2923e-03,1.6721e-04
5.6250e-02,9.6342e-07,-6.7765e-01,1.2923e-03,1.6721e-04
6.0000e-02,1.1692e-06,-6.7764e-01,1.2923e-03,1.6721e-04
6.3750e-02,1.4024e-06,-6.7764e-01,1.2923e-03,1.6720e-04
6.7500e-02,1.6648e-06,-6.7763e-01,1.2922e-03,1.6720e-04
7.1250e-02,1.9579e-06,-6.7763e-01,1.2922e-03,1.6720e-04
7.5000e-02,2.2836e-06,-6.7763e-01,1.2922e-03,1.6719e-04
7.8750e-02,2.6436e-06,-6.7762e-01,1.2922e-03,1.6719e-04
8.2500e-02,3.0395e-06,-6.7762e-01,1.2922e-03,1.6719e-04
8.6250e-02,3.4730e-06,-6.7761e-01,1.2922e-03,1.6718e-04
9.0000e-02,3.9460e-06,-6.7761e-01,1.2922e-03,1.6718e-04
9.3750e-02,4.4601e-06,-6.7760e-01,1.2922e-03,1.6718e-04
9.7500e-02,5.0169e-06,-6.7760e-01,1.2922e-03,1.6717e-04
1.0125e-01,5.6183e-06,-6.7759e-01,1.2921e-03,1.6717e-04
1.0500e-01,6.2660e-06,-6.7759e-01,1.2921e-03,1.6716e-04
1.0875e-01,6.9615e-06,-6.7758e-01,1.2921e-03,1.6716e-04
1.1250e-01,7.7068e-06,-6.7757e-01,1.2921e-03,1.6716e-04
1.1625e-01,8.5033e-06,-6.7757e-01,1.2921e-03,1.6715e-04
1.2000e-01,9.3530e-06,-6.7756e-01,1.2921e-03,1.6715e-04
1.2375e-01,1.0257e-05,-6.7755e-01,1.2920e-03,1.6714e-04
1.2750e-01,1.1218e-05,-6.7755e-01,1.2920e-03,1.6714e-04
1.3125e-01,1.2238e-05,-6.7754e-01,1.2920e-03,1.6713e-04
1.3500e-01,1.3317e-05,-6.7753e-01,1.2920e-03,1.6712e-04
1.3875e-01,1.4457e-05,-6.7752e-01,1.2920e-03,1.6712e-04
1.4250e-01,1.5661e-05,-6.7752e-01,1.2920e-03,1.6711e-04
1.4625e-01,1.6930e-05,-6.7751e-01,1.2919e-03,1.6711e-04
1.5000e-01,1.8266e-05,-6.7750e-01,1.2919e-03,1.6710e-04
1.5375e-01,1.9671e-05,-6.7749e-01,1.2919e-03,1.6710e-04
1.5750e-01,2.1145e-05,-6.7748e-01,1.2919e-03,1.6709e-04
1.6125e-01,2.2692e-05,-6.7747e-01,1.2918e-03,1.6708e-04
1.6500e-01,2.4312e-05,-6.7746e-01,1.2918e-03,1.6708e-04
1.6875e-01,2.6007e-05,-6.7745e-01,1.2918e-03,1.6707e-04
1.7250e-01,2.7779e-05,-6.7745e-01,1.2918e-03,1.6706e-04
1.7625e-01,2.9630e-05,-6.7744e-01,1.2918e-03,1.6705e-04
1.8000e-01,3.1562e-05,-6.7743e-01,1.2917e-03,1.6705e-04
1.8375e-01,3.3575e-05,-6.7742e-01,1.2917e-03,1.6704e-04
1.8750e-01,3.5673e-05,-6.7740e-01,1.2917e-03,1.6703e-04
1.9125e-01,3.7856e-05,-6.7739e-01,1.2917e-03,1.6702e-04
1.9500e-01,4.0126e-05,-6.7738e-01,1.2916e-03,1.6702e-04
1.9875e-01,4.2485e-05,-6.7737e-01,1.2916e-03,1.6701e-04
2.0250e-01,4.4935e-05,-6.7736e-01,1.2916e-03,1.6700e-04
2.0625e-01,4.7477e-05,-6.7735e-01,1.2915e-03,1.6699e-04
2.1000e-01,5.0114e-05,-6.7734e-01,1.2915e-03,1.6698e-04
