r,m,nu,rho,P
0.0000e+00,0.0000e+00,-7.9066e-01,1.6943e-03,2.8689e-04
3.7500e-03,3.7425e-10,-7.9066e-01,1.6943e-03,2.8689e-04
7.5000e-03,2.9941e-09,-7.9066e-01,1.6943e-03,2.8689e-04
1.1250e-02,1.0105e-08,-7.9066e-01,1.6943e-03,2.8689e-04
1.5000e-02,2.3953e-08,-7.9066e-01,1.6943e-03,2.8688e-04
1.8750e-02,4.6782e-08,-7.9065e-01,1.6943e-03,2.8688e-04
2.2500e-02,8.0840e-08,-7.9065e-01,1.6943e-03,2.8688e-04
2.6250e-02,1.2837e-07,-7.9065e-01,1.6943e-03,2.8688e-04
3.0000e-02,1.9162e-07,-7.9065e-01,1.6943e-03,2.8688e-04
3.3750e-02,2.7283e-07,-7.9065e-01,1.6943e-03,2.8688e-04
3.7500e-02,3.7426e-07,-7.9064e-01,1.6943e-03,2.8687e-04
4.1250e-02,4.9813e-07,-7.9064e-01,1.6943e-03,2.8687e-04
4.5000e-02,6.4671e-07,-7.9064e-01,1.6943e-03,2.8687e-04
4.8750e-02,8.2223e-07,-7.9063e-01,1.6943e-03,2.8686e-04
5.2500e-02,1.0269e-06,-7.9063e-01,1.6942e-03,2.8686e-04
5.6250e-02,1.2631e-06,-7.9062e-01,1.6942e-03,2.8685e-04
6.0000e-02,1.5329e-06,-7.9062e-01,1.6942e-03,2.8685e-04
6.3750e-02,1.8387e-06,-7.9061e-01,1.6942e-03,2.8684e-04
6.7500e-02,2.1826e-06,-7.9061e-01,1.6942e-03,2.8684e-04
7.1250e-02,2.5670e-06,-7.9060e-01,1.6942e-03,2.8683e-04
7.5000e-02,2.9940e-06,-7.9060e-01,1.6942e-03,2.8683e-04
7.8750e-02,3.4659e-06,-7.9059e-01,1.6942e-03,2.8682e-04
8.2500e-02,3.9849e-06,-7.9059e-01,1.6942e-03,2.8682e-04
8.6250e-02,4.5534e-06,-7.9058e-01,1.6941e-03,2.8681e-04
9.0000e-02,5.1735e-06,-7.9057e-01,1.6941e-03,2.8680e-04
9.3750e-02,5.8474e-06,-7.9056e-01,1.6941e-03,2.8679e-04
9.7500e-02,6.5775e-06,-7.9056e-01,1.6941e-03,2.8679e-04
1.0125e-01,7.3660e-06,-7.9055e-01,1.6941e-03,2.8678e-04
1.0500e-01,8.2151e-06,-7.9054e-01,1.6941e-03,2.8677e-04
1.0875e-01,9.1270e-06,-7.9053e-01,1.6941e-03,2.8676e-04
1.1250e-01,1.0104e-05,-7.9052e-01,1.6940e-03,2.8675e-04
1.1625e-01,1.1148e-05,-7.9051e-01,1.6940e-03,2.8674e-04
1.2000e-01,1.2262e-05,-7.9050e-01,1.6940e-03,2.8673e-04
1.2375e-01,1.3448e-05,-7.9049e-01,1.6940e-03,2.8672e-04
1.2750e-01,1.4708e-05,-7.9048e-01,1.6940e-03,2.8671e-04
1.3125e-01,1.6044e-05,-7.9047e-01,1.6939e-03,2.8670e-04
1.3500e-01,1.7459e-05,-7.9046e-01,1.6939e-03,2.8669e-04
1.3875e-01,1.8955e-05,-7.9045e-01,1.6939e-03,2.8668e-04
1.4250e-01,2.0533e-05,-7.9044e-01,1.6939e-03,2.8667e-04
1.4625e-01,2.2197e-05,-7.9043e-01,1.6939e-03,2.8666e-04
1.5000e-01,2.3949e-05,-7.9042e-01,1.6938e-03,2.8665e-04
1.5375e-01,2.5790e-05,-7.9041e-01,1.6938e-03,2.8664e-04
1.5750e-01,2.7723e-05,-7.9039e-01,1.6938e-03,2.8662e-04
1.6125e-01,2.9751e-05,-7.9038e-01,1.6938e-03,2.8661e-04
1.6500e-01,3.1874e-05,-7.9037e-01,1.6937e-03,2.8660e-04
1.6875e-01,3.4097e-05,-7.9035e-01,1.6937e-03,2.8659e-04
1.7250e-01,3.6421e-05,-7.9034e-01,1.6937e-03,2.8657e-04
1.7625e-01,3.8848e-05,-7.9033e-01,1.6936e-03,2.8656e-04
1.8000e-01,4.1380e-05,-7.9031e-01,1.6936e-03,2.8654e-04
1.8375e-01,4.4020e-05,-7.9030e-01,1.6936e-03,2.8653e-04
1.8750e-01,4.6770e-05,-7.9028e-01,1.6936e-03,2.8651e-04
1.9125e-01,4.9632e-05,-7.9027e-01,1.6935e-03,2.8650e-04
1.9500e-01,5.2609e-05,-7.9025e-01,1.6935e-03,2.8648e-04
1.9875e-01,5.5702e-05,-7.9024e-01,1.6935e-03,2.8647e-04
2.0250e-01,5.8914e-05,-7.9022e-01,1.6934e-03,2.8645e-04
2.0625e-01,6.2248e-05,-7.9020e-01,1.6934e-03,2.8644e-04
2.1000e-01,6.5704e-05,-7.9019e-01,1.6934e-03,2.8642e-04
2.1375e-01,6.9287e-05,-7.9017e-01,1.6933e-03,2.8640e-04
2.1750e-01,7.2997e-05,-7.9015e-01,1.6933e-03,2.8639e-04
2.2125e-01,7.6837e-05,-7.9013e-01,1.6933e-03,2.8637e-04
2.2500e-01,8.0810e-05,-7.9012e-01,1.6932e-03,2.8635e-04
2.2875e-01,8.4917e-05,-7.9010e-01,1.6932e-03,2.8633e-04
2.3250e-01,8.9161e-05,-7.9008e-01,1.6932e-03,2.8631e-04
2.3625e-01,9.3544e-05,-7.9006e-01,1.6931e-03,2.8630e-04
2.4000e-01,9.8068e-05,-7.9004e-01,1.6931e-03,2.8628e-04
2.4375e-01,1.0274e-04,-7.9002e-01,1.6931e-03,2.8626e-04
2.4750e-01,1.0755e-04,-7.9000e-01,1.6930e-03,2.8624e-04
2.5125e-01,1.1251e-04,-7.8998e-01,1.6930e-03,2.8622e-04
2.5500e-01,1.1762e-04,-7.8996e-01,1.6929e-03,2.8620e-04
2.5875e-01,1.2289e-04,-7.8994e-01,1.6929e-03,2.8618e-04
