r,m,nu,rho,P
2.8875e-01,1.3457e-04,-6.9819e-01,1.3339e-03,1.9231e-04
2.9250e-01,1.3988e-04,-6.9817e-01,1.3339e-03,1.9229e-04
2.9625e-01,1.4533e-04,-6.9815e-01,1.3338e-03,1.9228e-04
3.0000e-01,1.5091e-04,-6.9813e-01,1.3338e-03,1.9227e-04
3.0375e-01,1.5664e-04,-6.9811e-01,1.3338e-03,1.9225e-04
3.0750e-01,1.6251e-04,-6.9810e-01,1.3337e-03,1.9224e-04
3.1125e-01,1.6853e-04,-6.9808e-01,1.3337e-03,1.9222e-04
3.1500e-01,1.7469e-04,-6.9806e-01,1.3336e-03,1.9221e-04
3.1875e-01,1.8100e-04,-6.9804e-01,1.3336e-03,1.9219e-04
3.2250e-01,1.8746e-04,-6.9802e-01,1.3336e-03,1.9218e-04
3.2625e-01,1.9407e-04,-6.9800e-01,1.3335e-03,1.9216e-04
3.3000e-01,2.0084e-04,-6.9798e-01,1.3335e-03,1.9215e-04
3.3375e-01,2.0776e-04,-6.9796e-01,1.3335e-03,1.9213e-04
3.3750e-01,2.1484e-04,-6.9794e-01,1.3334e-03,1.9212e-04
3.4125e-01,2.2208e-04,-6.9792e-01,1.3334e-03,1.9210e-04
3.4500e-01,2.2947e-04,-6.9790e-01,1.3333e-03,1.9209e-04
3.4875e-01,2.3703e-04,-6.9788e-01,1.3333e-03,1.9207e-04
3.5250e-01,2.4476e-04,-6.9786e-01,1.3332e-03,1.9206e-04
3.5625e-01,2.5265e-04,-6.9784e-01,1.3332e-03,1.9204e-04
3.6000e-01,2.6070e-04,-6.9781e-01,1.3332e-03,1.9202e-04
3.6375e-01,2.6893e-04,-6.9779e-01,1.3331e-03,1.9201e-04
3.6750e-01,2.7733e-04,-6.9777e-01,1.3331e-03,1.9199e-04
3.7125e-01,2.8590e-04,-6.9775e-01,1.3330e-03,1.9197e-04
3.7500e-01,2.9465e-04,-6.9773e-01,1.3330e-03,1.9196e-04
3.7875e-01,3.0357e-04,-6.9770e-01,1.3329e-03,1.9194e-04
3.8250e-01,3.1267e-04,-6.9768e-01,1.3329e-03,1.9192e-04
3.8625e-01,3.2195e-04,-6.9766e-01,1.3328e-03,1.9190e-04
3.9000e-01,3.3141e-04,-6.9763e-01,1.3328e-03,1.9189e-04
3.9375e-01,3.4105e-04,-6.9761e-01,1.3328e-03,1.9187e-04
3.9750e-01,3.5088e-04,-6.9759e-01,1.3327e-03,1.9185e-04
4.0125e-01,3.6090e-04,-6.9756e-01,1.3327e-03,1.9183e-04
4.0500e-01,3.7111e-04,-6.9754e-01,1.3326e-03,1.9181e-04
4.0875e-01,3.8150e-04,-6.9751e-01,1.3326e-03,1.9179e-04
4.1250e-01,3.9209e-04,-6.9749e-01,1.3325e-03,1.9178e-04
4.1625e-01,4.0287e-04,-6.9746e-01,1.3325e-03,1.9176e-04
4.2000e-01,4.1385e-04,-6.9744e-01,1.3324e-03,1.9174e-04
4.2375e-01,4.2502e-04,-6.9741e-01,1.3324e-03,1.9172e-04
4.2750e-01,4.3640e-04,-6.9739e-01,1.3323e-03,1.9170e-04
4.3125e-01,4.4797e-04,-6.9736e-01,1.3323e-03,1.9168e-04
4.3500e-01,4.5975e-04,-6.9734e-01,1.3322e-03,1.9166e-04
4.3875e-01,4.7173e-04,-6.9731e-01,1.3321e-03,1.9164e-04
4.4250e-01,4.8392e-04,-6.9728e-01,1.3321e-03,1.9162e-04
4.4625e-01,4.9632e-04,-6.9726e-01,1.3320e-03,1.9160e-04
