r,m,nu,rho,P
2.8875e-01,1.9675e-04,-8.5198e-01,1.9503e-03,3.7055e-04
2.9250e-01,2.0452e-04,-8.5195e-01,1.9502e-03,3.7052e-04
2.9625e-01,2.1248e-04,-8.5192e-01,1.9502e-03,3.7048e-04
3.0000e-01,2.2065e-04,-8.5189e-01,1.9501e-03,3.7045e-04
3.0375e-01,2.2902e-04,-8.5186e-01,1.9501e-03,3.7042e-04
3.0750e-01,2.3761e-04,-8.5183e-01,1.9500e-03,3.7038e-04
3.1125e-01,2.4640e-04,-8.5180e-01,1.9500e-03,3.7035e-04
3.1500e-01,2.5541e-04,-8.5177e-01,1.9499e-03,3.7031e-04
3.1875e-01,2.6464e-04,-8.5174e-01,1.9499e-03,3.7028e-04
3.2250e-01,2.7408e-04,-8.5171e-01,1.9498e-03,3.7024e-04
3.2625e-01,2.8375e-04,-8.5168e-01,1.9498e-03,3.7021e-04
3.3000e-01,2.9364e-04,-8.5165e-01,1.9497e-03,3.7017e-04
3.3375e-01,3.0376e-04,-8.5162e-01,1.9496e-03,3.7013e-04
3.3750e-01,3.1411e-04,-8.5158e-01,1.9496e-03,3.7009e-04
3.4125e-01,3.2469e-04,-8.5155e-01,1.9495e-03,3.7006e-04
3.4500e-01,3.3551e-04,-8.5152e-01,1.9495e-03,3.7002e-04
3.4875e-01,3.4656e-04,-8.5148e-01,1.9494e-03,3.6998e-04
3.5250e-01,3.5786e-04,-8.5145e-01,1.9493e-03,3.6994e-04
3.5625e-01,3.6939e-04,-8.5142e-01,1.9493e-03,3.6990e-04
3.6000e-01,3.8117e-04,-8.5138e-01,1.9492e-03,3.6986e-04
3.6375e-01,3.9320e-04,-8.5135e-01,1.9492e-03,3.6982e-04
3.6750e-01,4.0548e-04,-8.5131e-01,1.9491e-03,3.6978e-04
3.7125e-01,4.1801e-04,-8.5128e-01,1.9490e-03,3.6974e-04
3.7500e-01,4.3080e-04,-8.5124e-01,1.9490e-03,3.6970e-04
3.7875e-01,4.4384e-04,-8.5120e-01,1.9489e-03,3.6965e-04
3.8250e-01,4.5715e-04,-8.5117e-01,1.9488e-03,3.6961e-04
3.8625e-01,4.7072e-04,-8.5113e-01,1.9488e-03,3.6957e-04
3.9000e-01,4.8455e-04,-8.5109e-01,1.9487e-03,3.6953e-04
3.9375e-01,4.9865e-04,-8.5106e-01,1.9486e-03,3.6948e-04
3.9750e-01,5.1303e-04,-8.5102e-01,1.9486e-03,3.6944e-04
4.0125e-01,5.2767e-04,-8.5098e-01,1.9485e-03,3.6939e-04
4.0500e-01,5.4259e-04,-8.5094e-01,1.9484e-03,3.6935e-04
4.0875e-01,5.5779e-04,-8.5090e-01,1.9484e-03,3.6930e-04
4.1250e-01,5.7327e-04,-8.5086e-01,1.9483e-03,3.6926e-04
