r,m,nu,rho,P
2.8875e-01,1.5080e-04,-7.3075e-01,1.4947e-03,2.2165e-04
2.9250e-01,1.5675e-04,-7.3073e-01,1.4946e-03,2.2163e-04
2.9625e-01,1.6285e-04,-7.3071e-01,1.4946e-03,2.2161e-04
3.0000e-01,1.6911e-04,-7.3069e-01,1.4945e-03,2.2160e-04
3.0375e-01,1.7553e-04,-7.3067e-01,1.4945e-03,2.2158e-04
3.0750e-01,1.8211e-04,-7.3065e-01,1.4945e-03,2.2156e-04
3.1125e-01,1.8885e-04,-7.3063e-01,1.4944e-03,2.2154e-04
3.1500e-01,1.9575e-04,-7.3061e-01,1.4944e-03,2.2152e-04
3.1875e-01,2.0282e-04,-7.3059e-01,1.4943e-03,2.2151e-04
3.2250e-01,2.1006e-04,-7.3056e-01,1.4943e-03,2.2149e-04
3.2625e-01,2.1747e-04,-7.3054e-01,1.4942e-03,2.2147e-04
3.3000e-01,2.2505e-04,-7.3052e-01,1.4942e-03,2.2145e-04
3.3375e-01,2.3281e-04,-7.3050e-01,1.4941e-03,2.2143e-04
3.3750e-01,2.4074e-04,-7.3047e-01,1.4941e-03,2.2141e-04
3.4125e-01,2.4885e-04,-7.3045e-01,1.4940e-03,2.2139e-04
3.4500e-01,2.5714e-04,-7.3043e-01,1.4940e-03,2.2137e-04
3.4875e-01,2.6561e-04,-7.3041e-01,1.4939e-03,2.2135e-04
3.5250e-01,2.7426e-04,-7.3038e-01,1.4938e-03,2.2133e-04
3.5625e-01,2.8310e-04,-7.3036e-01,1.4938e-03,2.2131e-04
3.6000e-01,2.9213e-04,-7.3033e-01,1.4937e-03,2.2129e-04
3.6375e-01,3.0135e-04,-7.3031e-01,1.4937e-03,2.2127e-04
3.6750e-01,3.1076e-04,-7.3028e-01,1.4936e-03,2.2125e-04
3.7125e-01,3.2036e-04,-7.3026e-01,1.4936e-03,2.2122e-04
3.7500e-01,3.3016e-04,-7.3023e-01,1.4935e-03,2.2120e-04
3.7875e-01,3.4016e-04,-7.3021e-01,1.4935e-03,2.2118e-04
3.8250e-01,3.5035e-04,-7.3018e-01,1.4934e-03,2.2116e-04
3.8625e-01,3.6075e-04,-7.3016e-01,1.4933e-03,2.2114e-04
3.9000e-01,3.7135e-04,-7.3013e-01,1.4933e-03,2.2111e-04
3.9375e-01,3.8216e-04,-7.3010e-01,1.4932e-03,2.2109e-04
3.9750e-01,3.9317e-04,-7.3008e-01,1.4932e-03,2.2107e-04
4.0125e-01,4.0439e-04,-7.3005e-01,1.4931e-03,2.2104e-04
4.0500e-01,4.1583e-04,-7.3002e-01,1.4930e-03,2.2102e-04
4.0875e-01,4.2747e-04,-7.2999e-01,1.4930e-03,2.2100e-04
4.1250e-01,4.3934e-04,-7.2997e-01,1.4929e-03,2.2097e-04
4.1625e-01,4.5142e-04,-7.2994e-01,1.4928e-03,2.2095e-04
4.2000e-01,4.6372e-04,-7.2991e-01,1.4928e-03,2.2092e-04
4.2375e-01,4.7624e-04,-7.2988e-01,1.4927e-03,2.2090e-04
4.2750e-01,4.8898e-04,-7.2985e-01,1.4927e-03,2.2088e-04
4.3125e-01,5.0195e-04,-7.2982e-01,1.4926e-03,2.2085e-04
4.3500e-01,5.1514e-04,-7.2979e-01,1.4925e-03,2.2083e-04
4.3875e-01,5.2856e-04,-7.2976e-01,1.4925e-03,2.2080e-04
4.4250e-01,5.4222e-04,-7.2973e-01,1.4924e-03,2.2077e-04
4.4625e-01,5.5611e-04,-7.2970e-01,1.4923e-03,2.2075e-04
4.5000e-01,5.7023e-04,-7.2967e-01,1.4923e-03,2.2072e-04
4.5375e-01,5.8459e-04,-7.2964e-01,1.4922e-03,2.2070e-04
4.5750e-01,5.9918e-04,-7.2961e-01,1.4921e-03,2.2067e-04
4.6125e-01,6.1402e-04,-7.2958e-01,1.4920e-03,2.2064e-04
4.6500e-01,6.2910e-04,-7.2955e-01,1.4920e-03,2.2062e-04
4.6875e-01,6.4443e-04,-7.2952e-01,1.4919e-03,2.2059e-04
4.7250e-01,6.6000e-04,-7.2948e-01,1.4918e-03,2.2056e-04
4.7625e-01,6.7582e-04,-7.2945e-01,1.4918e-03,2.2053e-04
4.8000e-01,6.9189e-04,-7.2942e-01,1.4917e-03,2.2051e-04
4.8375e-01,7.0821e-04,-7.2939e-01,1.4916e-03,2.2048e-04
4.8750e-01,7.2479e-04,-7.2935e-01,1.4915e-03,2.2045e-04
4.9125e-01,7.4162e-04,-7.2932e-01,1.4915e-03,2.2042e-04
4.9500e-01,7.5871e-04,-7.2929e-01,1.4914e-03,2.2039e-04
