r,m,nu,rho,P
2.8875e-01,1.5081e-04,-7.3657e-01,1.4948e-03,2.2739e-04
2.9250e-01,1.5676e-04,-7.3655e-01,1.4948e-03,2.2737e-04
2.9625e-01,1.6286e-04,-7.3653e-01,1.4947e-03,2.2735e-04
3.0000e-01,1.6912e-04,-7.3651e-01,1.4947e-03,2.2733e-04
3.0375e-01,1.7554e-04,-7.3649e-01,1.4946e-03,2.2732e-04
3.0750e-01,1.8212e-04,-7.3647e-01,1.4946e-03,2.2730e-04
3.1125e-01,1.8886e-04,-7.3645e-01,1.4945e-03,2.2728e-04
3.1500e-01,1.9576e-04,-7.3642e-01,1.4945e-03,2.2726e-04
3.1875e-01,2.0284e-04,-7.3640e-01,1.4944e-03,2.2724e-04
3.2250e-01,2.1008e-04,-7.3638e-01,1.4944e-03,2.2722e-04
3.2625e-01,2.1748e-04,-7.3636e-01,1.4944e-03,2.2720e-04
3.3000e-01,2.2507e-04,-7.3634e-01,1.4943e-03,2.2719e-04
3.3375e-01,2.3282e-04,-7.3631e-01,1.4943e-03,2.2717e-04
3.3750e-01,2.4075e-04,-7.3629e-01,1.4942e-03,2.2715e-04
3.4125e-01,2.4886e-04,-7.3627e-01,1.4942e-03,2.2713e-04
3.4500e-01,2.5715e-04,-7.3624e-01,1.4941e-03,2.2711e-04
3.4875e-01,2.6563e-04,-7.3622e-01,1.4941e-03,2.2709e-04
3.5250e-01,2.7428e-04,-7.3620e-01,1.4940e-03,2.2706e-04
3.5625e-01,2.8312e-04,-7.3617e-01,1.4940e-03,2.2704e-04
3.6000e-01,2.9215e-04,-7.3615e-01,1.4939e-03,2.2702e-04
3.6375e-01,3.0137e-04,-7.3612e-01,1.4939e-03,2.2700e-04
3.6750e-01,3.1078e-04,-7.3610e-01,1.4938e-03,2.2698e-04
3.7125e-01,3.2039e-04,-7.3607e-01,1.4938e-03,2.2696e-04
3.7500e-01,3.3019e-04,-7.3605e-01,1.4937e-03,2.2694e-04
3.7875e-01,3.4018e-04,-7.3602e-01,1.4937e-03,2.2691e-04
3.8250e-01,3.5038e-04,-7.3599e-01,1.4936e-03,2.2689e-04
3.8625e-01,3.6078e-04,-7.3597e-01,1.4935e-03,2.2687e-04
3.9000e-01,3.7138e-04,-7.3594e-01,1.4935e-03,2.2685e-04
3.9375e-01,3.8219e-04,-7.3591e-01,1.4934e-03,2.2682e-04
3.9750e-01,3.9320e-04,-7.3589e-01,1.4934e-03,2.2680e-04
4.0125e-01,4.0443e-04,-7.3586e-01,1.4933e-03,2.2678e-04
4.0500e-01,4.1586e-04,-7.3583e-01,1.4933e-03,2.2675e-04
4.0875e-01,4.2751e-04,-7.3580e-01,1.4932e-03,2.2673e-04
4.1250e-01,4.3938e-04,-7.3578e-01,1.4931e-03,2.2670e-04
4.1625e-01,4.5146e-04,-7.3575e-01,1.4931e-03,2.2668e-04
4.2000e-01,4.6376e-04,-7.3572e-01,1.4930e-03,2.2665e-04
4.2375e-01,4.7628e-04,-7.3569e-01,1.4930e-03,2.2663e-04
4.2750e-01,4.8903e-04,-7.3566e-01,1.4929e-03,2.2661e-04
4.3125e-01,5.0200e-04,-7.3563e-01,1.4928e-03,2.2658e-04
4.3500e-01,5.1519e-04,-7.3560e-01,1.4928e-03,2.2655e-04
4.3875e-01,5.2862e-04,-7.3557e-01,1.4927e-03,2.2653e-04
4.4250e-01,5.4228e-04,-7.3554e-01,1.4927e-03,2.2650e-04
4.4625e-01,5.5617e-04,-7.3551e-01,1.4926e-03,2.2648e-04
4.5000e-01,5.7029e-04,-7.3548e-01,1.4925e-03,2.2645e-04
4.5375e-01,5.8465e-04,-7.3545e-01,1.4925e-03,2.2642e-04
4.5750e-01,5.9925e-04,-7.3542e-01,1.4924e-03,2.2640e-04
4.6125e-01,6.1409e-04,-7.3539e-01,1.4923e-03,2.2637e-04
4.6500e-01,6.2918e-04,-7.3536e-01,1.4923e-03,2.2634e-04
4.6875e-01,6.4450e-04,-7.3532e-01,1.4922e-03,2.2632e-04
4.7250e-01,6.6008e-04,-7.3529e-01,1.4921e-03,2.2629e-04
4.7625e-01,6.7590e-04,-7.3526e-01,1.4921e-03,2.2626e-04
4.8000e-01,6.9197e-04,-7.3523e-01,1.4920e-03,2.2623e-04
4.8375e-01,7.0830e-04,-7.3519e-01,1.4919e-03,2.2620e-04
4.8750e-01,7.2488e-04,-7.3516e-01,1.4919e-03,2.2617e-04
4.9125e-01,7.4172e-04,-7.3513e-01,1.4918e-03,2.2615e-04
4.9500e-01,7.5881e-04,-7.3509e-01,1.4917e-03,2.2612e-04
4.9875e-01,7.7617e-04,-7.3506e-01,1.4916e-03,2.2609e-04
5.0250e-01,7.9378e-04,-7.3502e-01,1.4916e-03,2.2606e-04
5.0625e-01,8.1166e-04,-7.3499e-01,1.4915e-03,2.2603e-04
5.1000e-01,8.2981e-04,-7.3496e-01,1.4914e-03,2.2600e-04
5.1375e-01,8.4822e-04,-7.3492e-01,1.4914e-03,2.2597e-04
5.1750e-01,8.6691e-04,-7.3488e-01,1.4913e-03,2.2594e-04
5.2125e-01,8.8587e-04,-7.3485e-01,1.4912e-03,2.2591e-04
5.2500e-01,9.0510e-04,-7.3481e-01,1.4911e-03,2.2588e-04
5.2875e-01,9.2460e-04,-7.3478e-01,1.4911e-03,2.2585e-04
5.3250e-01,9.4439e-04,-7.3474e-01,1.4910e-03,2.2581e-04
5.3625e-01,9.6445e-04,-7.3470e-01,1.4909e-03,2.2578e-04
5.4000e-01,9.8479e-04,-7.3467e-01,1.4908e-03,2.2575e-04
5.4375e-01,1.0054e-03,-7.3463e-01,1.4908e-03,2.2572e-04
5.4750e-01,1.0263e-03,-7.3459e-01,1.4907e-03,2.2569e-04
5.5125e-01,1.0475e-03,-7.3456e-01,1.4906e-03,2.2566e-04
5.5500e-01,1.0690e-03,-7.3452e-01,1.4905e-03,2.2562e-04
5.5875e-01,1.0908e-03,-7.3448e-01,1.4904e-03,2.2559e-04
5.6250e-01,1.1129e-03,-7.3444e-01,1.4904e-03,2.2556e-04
5.6625e-01,1.1353e-03,-7.3440e-01,1.4903e-03,2.2552e-04
5.7000e-01,1.1579e-03,-7.3436e-01,1.4902e-03,2.2549e-04
5.7375e-01,1.1809e-03,-7.3432e-01,1.4901e-03,2.2546e-04
5.7750e-01,1.2042e-03,-7.3429e-01,1.4900e-03,2.2542e-04
5.8125e-01,1.2277e-03,-7.3425e-01,1.4900e-03,2.2539e-04
5.8500e-01,1.2516e-03,-7.3421e-01,1.4899e-03,2.2536e-04
5.8875e-01,1.2758e-03,-7.3417e-01,1.4898e-03,2.2532e-04
5.9250e-01,1.3003e-03,-7.3413e-01,1.4897e-03,2.2529e-04
5.9625e-01,1.3251e-03,-7.3408e-01,1.4896e-03,2.2525e-04
6.0000e-01,1.3502e-03,-7.3404e-01,1.4895e-03,2.2522e-04
6.0375e-01,1.3756e-03,-7.3400e-01,1.4895e-03,2.2518e-04
6.0750e-01,1.4013e-03,-7.3396e-01,1.4894e-03,2.2515e-04
6.1125e-01,1.4274e-03,-7.3392e-01,1.4893e-03,2.2511e-04
6.1500e-01,1.4538e-03,-7.3388e-01,1.4892e-03,2.2507e-04
6.1875e-01,1.4805e-03,-7.3384e-01,1.4891e-03,2.2504e-04
6.2250e-01,1.5075e-03,-7.3379e-01,1.4890e-03,2.2500e-04
6.2625e-01,1.5349e-03,-7.3375e-01,1.4889e-03,2.2496e-04
6.3000e-01,1.5626e-03,-7.3371e-01,1.4888e-03,2.2493e-04
6.3375e-01,1.5906e-03,-7.3366e-01,1.4887e-03,2.2489e-04
6.3750e-01,1.6189e-03,-7.3362e-01,1.4887e-03,2.2485e-04
6.4125e-01,1.6476e-03,-7.3358e-01,1.4886e-03,2.2482e-04
6.4500e-01,1.6766e-03,-7.3353e-01,1.4885e-03,2.2478e-04
6.4875e-01,1.7060e-03,-7.3349e-01,1.4884e-03,2.2474e-04
6.5250e-01,1.7356e-03,-7.3344e-01,1.4883e-03,2.2470e-04
6.5625e-01,1.7657e-03,-7.3340e-01,1.4882e-03,2.2466e-04
6.6000e-01,1.7960e-03,-7.3335e-01,1.4881e-03,2.2463e-04
6.6375e-01,1.8268e-03,-7.3331e-01,1.4880e-03,2.2459e-04
6.6750e-01,1.8578e-03,-7.3326e-01,1.4879e-03,2.2455e-04
6.7125e-01,1.8892e-03,-7.3322e-01,1.4878e-03,2.2451e-04
6.7500e-01,1.9210e-03,-7.3317e-01,1.4877e-03,2.2447e-04
6.7875e-01,1.9531e-03,-7.3313e-01,1.4876e-03,2.2443e-04
6.8250e-01,1.9856e-03,-7.3308e-01,1.4875e-03,2.2439e-04
6.8625e-01,2.0184e-03,-7.3303e-01,1.4874e-03,2.2435e-04
6.9000e-01,2.0516e-03,-7.3298e-01,1.4873e-03,2.2431e-04
6.9375e-01,2.0852e-03,-7.3294e-01,1.4872e-03,2.2427e-04
6.9750e-01,2.1191e-03,-7.3289e-01,1.4871e-03,2.2423e-04
7.0125e-01,2.1534e-03,-7.3284e-01,1.4870e-03,2.2419e-04
7.0500e-01,2.1880e-03,-7.3279e-01,1.4869e-03,2.2415e-04
7.0875e-01,2.2230e-03,-7.3275e-01,1.4868e-03,2.2410e-04
7.1250e-01,2.2584e-03,-7.3270e-01,1.4867e-03,2.2406e-04
7.1625e-01,2.2942e-03,-7.3265e-01,1.4866e-03,2.2402e-04
7.2000e-01,2.3303e-03,-7.3260e-01,1.4865e-03,2.2398e-04
7.2375e-01,2.3668e-03,-7.3255e-01,1.4864e-03,2.2394e-04
7.2750e-01,2.4037e-03,-7.3250e-01,1.4863e-03,2.2389e-04
7.3125e-01,2.4409e-03,-7.3245e-01,1.4862e-03,2.2385e-04
7.3500e-01,2.4786e-03,-7.3240e-01,1.4861e-03,2.2381e-04
7.3875e-01,2.5166e-03,-7.3235e-01,1.4860e-03,2.2377e-04
7.4250e-01,2.5550e-03,-7.3230e-01,1.4859e-03,2.2372e-04
7.4625e-01,2.5938e-03,-7.3225e-01,1.4858e-03,2.2368e-04
7.5000e-01,2.6330e-03,-7.3220e-01,1.4857e-03,2.2364e-04
7.5375e-01,2.6726e-03,-7.3215e-01,1.4856e-03,2.2359e-04
7.5750e-01,2.7125e-03,-7.3209e-01,1.4855e-03,2.2355e-04
7.6125e-01,2.7529e-03,-7.3204e-01,1.4854e-03,2.2350e-04
7.6500e-01,2.7937e-03,-7.3199e-01,1.4853e-03,2.2346e-04
7.6875e-01,2.8348e-03,-7.3194e-01,1.4851e-03,2.2341e-04
7.7250e-01,2.8764e-03,-7.3188e-01,1.4850e-03,2.2337e-04
7.7625e-01,2.9183e-03,-7.3183e-01,1.4849e-03,2.2332e-04
7.8000e-01,2.9607e-03,-7.3178e-01,1.4848e-03,2.2328e-04
7.8375e-01,3.0035e-03,-7.3173e-01,1.4847e-03,2.2323e-04
7.8750e-01,3.0467e-03,-7.3167e-01,1.4846e-03,2.2319e-04
7.9125e-01,3.0903e-03,-7.3162e-01,1.4845e-03,2.2314e-04
7.9500e-01,3.1343e-03,-7.3156e-01,1.4844e-03,2.2309e-04
7.9875e-01,3.1787e-03,-7.3151e-01,1.4843e-03,2.2305e-04
8.0250e-01,3.2235e-03,-7.3145e-01,1.4841e-03,2.2300e-04
8.0625e-01,3.2688e-03,-7.3140e-01,1.4840e-03,2.2295e-04
8.1000e-01,3.3144e-03,-7.3134e-01,1.4839e-03,2.2291e-04
8.1375e-01,3.3605e-03,-7.3129e-01,1.4838e-03,2.2286e-04
8.1750e-01,3.4070e-03,-7.3123e-01,1.4837e-03,2.2281e-04
8.2125e-01,3.4540e-03,-7.3118e-01,1.4836e-03,2.2276e-04
8.2500e-01,3.5013e-03,-7.3112e-01,1.4834e-03,2.2272e-04
8.2875e-01,3.5491e-03,-7.3106e-01,1.4833e-03,2.2267e-04
8.3250e-01,3.5974e-03,-7.3101e-01,1.4832e-03,2.2262e-04
8.3625e-01,3.6460e-03,-7.3095e-01,1.4831e-03,2.2257e-04
8.4000e-01,3.6951e-03,-7.3089e-01,1.4830e-03,2.2252e-04
8.4375e-01,3.7446e-03,-7.3084e-01,1.4828e-03,2.2247e-04
8.4750e-01,3.7946e-03,-7.3078e-01,1.4827e-03,2.2242e-04
8.5125e-01,3.8450e-03,-7.3072e-01,1.4826e-03,2.2237e-04
8.5500e-01,3.8958e-03,-7.3066e-01,1.4825e-03,2.2233e-04
8.5875e-01,3.9471e-03,-7.3060e-01,1.4824e-03,2.2228e-04
8.6250e-01,3.9989e-03,-7.3054e-01,1.4822e-03,2.2222e-04
8.6625e-01,4.0511e-03,-7.3049e-01,1.4821e-03,2.2217e-04
8.7000e-01,4.1037e-03,-7.3043e-01,1.4820e-03,2.2212e-04
8.7375e-01,4.1568e-03,-7.3037e-01,1.4819e-03,2.2207e-04
8.7750e-01,4.2103e-03,-7.3031e-01,1.4817e-03,2.2202e-04
8.8125e-01,4.2643e-03,-7.3025e-01,1.4816e-03,2.2197e-04
8.8500e-01,4.3188e-03,-7.3019e-01,1.4815e-03,2.2192e-04
8.8875e-01,4.3737e-03,-7.3013e-01,1.4814e-03,2.2187e-04
8.9250e-01,4.4290e-03,-7.3006e-01,1.4812e-03,2.2182e-04
8.9625e-01,4.4849e-03,-7.3000e-01,1.4811e-03,2.2176e-04
9.0000e-01,4.5412e-03,-7.2994e-01,1.4810e-03,2.2171e-04
9.0375e-01,4.5979e-03,-7.2988e-01,1.4809e-03,2.2166e-04
9.0750e-01,4.6552e-03,-7.2982e-01,1.4807e-03,2.2161e-04
9.1125e-01,4.7129e-03,-7.2976e-01,1.4806e-03,2.2155e-04
9.1500e-01,4.7710e-03,-7.2969e-01,1.4805e-03,2.2150e-04
9.1875e-01,4.8297e-03,-7.2963e-01,1.4803e-03,2.2145e-04
9.2250e-01,4.8888e-03,-7.2957e-01,1.4802e-03,2.2139e-04
9.2625e-01,4.9484e-03,-7.2951e-01,1.4801e-03,2.2134e-04
9.3000e-01,5.0085e-03,-7.2944e-01,1.4799e-03,2.2129e-04
9.3375e-01,5.0691e-03,-7.2938e-01,1.4798e-03,2.2123e-04
9.3750e-01,5.1301e-03,-7.2931e-01,1.4797e-03,2.2118e-04
9.4125e-01,5.1916e-03,-7.2925e-01,1.4795e-03,2.2112e-04
9.4500e-01,5.2536e-03,-7.2919e-01,1.4794e-03,2.2107e-04
9.4875e-01,5.3161e-03,-7.2912e-01,1.4793e-03,2.2101e-04
9.5250e-01,5.3791e-03,-7.2906e-01,1.4791e-03,2.2096e-04
9.5625e-01,5.4426e-03,-7.2899e-01,1.4790e-03,2.2090e-04
9.6000e-01,5.5066e-03,-7.2893e-01,1.4789e-03,2.2085e-04
9.6375e-01,5.5711e-03,-7.2886e-01,1.4787e-03,2.2079e-04
9.6750e-01,5.6360e-03,-7.2879e-01,1.4786e-03,2.2074e-04
9.7125e-01,5.7015e-03,-7.2873e-01,1.4785e-03,2.2068e-04
9.7500e-01,5.7675e-03,-7.2866e-01,1.4783e-03,2.2062e-04
9.7875e-01,5.8340e-03,-7.2859e-01,1.4782e-03,2.2057e-04
9.8250e-01,5.9009e-03,-7.2853e-01,1.4780e-03,2.2051e-04
9.8625e-01,5.9684e-03,-7.2846e-01,1.4779e-03,2.2045e-04
