r,m,nu,rho,P
2.8875e-01,1.9641e-04,-8.5072e-01,1.9468e-03,3.6783e-04
2.9250e-01,2.0416e-04,-8.5069e-01,1.9468e-03,3.6780e-04
2.9625e-01,2.1211e-04,-8.5066e-01,1.9467e-03,3.6777e-04
3.0000e-01,2.2027e-04,-8.5063e-01,1.9467e-03,3.6774e-04
3.0375e-01,2.2863e-04,-8.5060e-01,1.9466e-03,3.6770e-04
3.0750e-01,2.3719e-04,-8.5057e-01,1.9465e-03,3.6767e-04
3.1125e-01,2.4597e-04,-8.5054e-01,1.9465e-03,3.6763e-04
3.1500e-01,2.5497e-04,-8.5051e-01,1.9464e-03,3.6760e-04
3.1875e-01,2.6418e-04,-8.5048e-01,1.9464e-03,3.6756e-04
3.2250e-01,2.7361e-04,-8.5045e-01,1.9463e-03,3.6753e-04
3.2625e-01,2.8326e-04,-8.5042e-01,1.9462e-03,3.6749e-04
3.3000e-01,2.9313e-04,-8.5039e-01,1.9462e-03,3.6746e-04
3.3375e-01,3.0323e-04,-8.5036e-01,1.9461e-03,3.6742e-04
3.3750e-01,3.1356e-04,-8.5033e-01,1.9461e-03,3.6738e-04
3.4125e-01,3.2412e-04,-8.5029e-01,1.9460e-03,3.6734e-04
3.4500e-01,3.3492e-04,-8.5026e-01,1.9459e-03,3.6731e-04
3.4875e-01,3.4595e-04,-8.5023e-01,1.9459e-03,3.6727e-04
3.5250e-01,3.5723e-04,-8.5019e-01,1.9458e-03,3.6723e-04
3.5625e-01,3.6874e-04,-8.5016e-01,1.9457e-03,3.6719e-04
3.6000e-01,3.8050e-04,-8.5013e-01,1.9457e-03,3.6715e-04
3.6375e-01,3.9251e-04,-8.5009e-01,1.9456e-03,3.6711e-04
3.6750e-01,4.0476e-04,-8.5006e-01,1.9455e-03,3.6707e-04
3.7125e-01,4.1727e-04,-8.5002e-01,1.9454e-03,3.6703e-04
3.7500e-01,4.3004e-04,-8.4998e-01,1.9454e-03,3.6699e-04
3.7875e-01,4.4306e-04,-8.4995e-01,1.9453e-03,3.6695e-04
3.8250e-01,4.5634e-04,-8.4991e-01,1.9452e-03,3.6690e-04
3.8625e-01,4.6988e-04,-8.4988e-01,1.9452e-03,3.6686e-04
3.9000e-01,4.8369e-04,-8.4984e-01,1.9451e-03,3.6682e-04
3.9375e-01,4.9776e-04,-8.4980e-01,1.9450e-03,3.6677e-04
3.9750e-01,5.1211e-04,-8.4976e-01,1.9449e-03,3.6673e-04
4.0125e-01,5.2673e-04,-8.4972e-01,1.9449e-03,3.6669e-04
4.0500e-01,5.4162e-04,-8.4969e-01,1.9448e-03,3.6664e-04
4.0875e-01,5.5679e-04,-8.4965e-01,1.9447e-03,3.6660e-04
4.1250e-01,5.7225e-04,-8.4961e-01,1.9446e-03,3.6655e-04
4.1625e-01,5.8798e-04,-8.4957e-01,1.9445e-03,3.6650e-04
4.2000e-01,6.0400e-04,-8.4953e-01,1.9445e-03,3.6646e-04
4.2375e-01,6.2031e-04,-8.4949e-01,1.9444e-03,3.6641e-04
4.2750e-01,6.3691e-04,-8.4945e-01,1.9443e-03,3.6636e-04
4.3125e-01,6.5380e-04,-8.4940e-01,1.9442e-03,3.6632e-04
4.3500e-01,6.7099e-04,-8.4936e-01,1.9441e-03,3.6627e-04
4.3875e-01,6.8847e-04,-8.4932e-01,1.9441e-03,3.6622e-04
4.4250e-01,7.0626e-04,-8.4928e-01,1.9440e-03,3.6617e-04
4.4625e-01,7.2435e-04,-8.4924e-01,1.9439e-03,3.6612e-04
4.5000e-01,7.4274e-04,-8.4919e-01,1.9438e-03,3.6607e-04
4.5375e-01,7.6145e-04,-8.4915e-01,1.9437e-03,3.6602e-04
4.5750e-01,7.8046e-04,-8.4911e-01,1.9436e-03,3.6597e-04
4.6125e-01,7.9979e-04,-8.4906e-01,1.9435e-03,3.6592e-04
4.6500e-01,8.1943e-04,-8.4902e-01,1.9435e-03,3.6587e-04
4.6875e-01,8.3939e-04,-8.4897e-01,1.9434e-03,3.6582e-04
4.7250e-01,8.5968e-04,-8.4893e-01,1.9433e-03,3.6577e-04
4.7625e-01,8.8028e-04,-8.4888e-01,1.9432e-03,3.6571e-04
4.8000e-01,9.0122e-04,-8.4884e-01,1.9431e-03,3.6566e-04
4.8375e-01,9.2248e-04,-8.4879e-01,1.9430e-03,3.6561e-04
4.8750e-01,9.4407e-04,-8.4874e-01,1.9429e-03,3.6555e-04
4.9125e-01,9.6600e-04,-8.4870e-01,1.9428e-03,3.6550e-04
4.9500e-01,9.8826e-04,-8.4865e-01,1.9427e-03,3.6544e-04
4.9875e-01,1.0109e-03,-8.4860e-01,1.9426e-03,3.6539e-04
5.0250e-01,1.0338e-03,-8.4855e-01,1.9425e-03,3.6533e-04
5.0625e-01,1.0571e-03,-8.4850e-01,1.9424e-03,3.6528e-04
5.1000e-01,1.0807e-03,-8.4846e-01,1.9423e-03,3.6522e-04
5.1375e-01,1.1047e-03,-8.4841e-01,1.9422e-03,3.6516e-04
5.1750e-01,1.1290e-03,-8.4836e-01,1.9421e-03,3.6511e-04
5.2125e-01,1.1537e-03,-8.4831e-01,1.9420e-03,3.6505e-04
5.2500e-01,1.1788e-03,-8.4826e-01,1.9419e-03,3.6499e-04
5.2875e-01,1.2042e-03,-8.4821e-01,1.9418e-03,3.6493e-04
5.3250e-01,1.2299e-03,-8.4816e-01,1.9417e-03,3.6488e-04
5.3625e-01,1.2561e-03,-8.4810e-01,1.9416e-03,3.6482e-04
5.4000e-01,1.2826e-03,-8.4805e-01,1.9415e-03,3.6476e-04
5.4375e-01,1.3094e-03,-8.4800e-01,1.9414e-03,3.6470e-04
5.4750e-01,1.3367e-03,-8.4795e-01,1.9413e-03,3.6464e-04
5.5125e-01,1.3643e-03,-8.4790e-01,1.9412e-03,3.6458e-04
5.5500e-01,1.3923e-03,-8.4784e-01,1.9411e-03,3.6451e-04
5.5875e-01,1.4206e-03,-8.4779e-01,1.9410e-03,3.6445e-04
5.6250e-01,1.4494e-03,-8.4774e-01,1.9409e-03,3.6439e-04
5.6625e-01,1.4785e-03,-8.4768e-01,1.9408e-03,3.6433e-04
5.7000e-01,1.5080e-03,-8.4763e-01,1.9407e-03,3.6427e-04
5.7375e-01,1.5379e-03,-8.4757e-01,1.9406e-03,3.6420e-04
5.7750e-01,1.5682e-03,-8.4752e-01,1.9405e-03,3.6414e-04
5.8125e-01,1.5989e-03,-8.4746e-01,1.9404e-03,3.6408e-04
