r,m,nu,rho,P
2.8875e-01,8.8927e-05,-5.7239e-01,8.8152e-04,9.5734e-05
2.9250e-01,9.2436e-05,-5.7238e-01,8.8150e-04,9.5729e-05
2.9625e-01,9.6036e-05,-5.7237e-01,8.8148e-04,9.5724e-05
3.0000e-01,9.9727e-05,-5.7236e-01,8.8146e-04,9.5719e-05
3.0375e-01,1.0351e-04,-5.7234e-01,8.8143e-04,9.5713e-05
3.0750e-01,1.0739e-04,-5.7233e-01,8.8141e-04,9.5708e-05
3.1125e-01,1.1137e-04,-5.7232e-01,8.8139e-04,9.5702e-05
3.1500e-01,1.1544e-04,-5.7231e-01,8.8137e-04,9.5697e-05
3.1875e-01,1.1961e-04,-5.7230e-01,8.8135e-04,9.5691e-05
3.2250e-01,1.2388e-04,-5.7229e-01,8.8133e-04,9.5685e-05
3.2625e-01,1.2825e-04,-5.7228e-01,8.8130e-04,9.5679e-05
3.3000e-01,1.3272e-04,-5.7226e-01,8.8128e-04,9.5673e-05
3.3375e-01,1.3730e-04,-5.7225e-01,8.8126e-04,9.5667e-05
3.3750e-01,1.4197e-04,-5.7224e-01,8.8124e-04,9.5661e-05
3.4125e-01,1.4676e-04,-5.7223e-01,8.8121e-04,9.5655e-05
3.4500e-01,1.5165e-04,-5.7221e-01,8.8119e-04,9.5649e-05
3.4875e-01,1.5664e-04,-5.7220e-01,8.8117e-04,9.5643e-05
3.5250e-01,1.6175e-04,-5.7219e-01,8.8114e-04,9.5637e-05
3.5625e-01,1.6696e-04,-5.7217e-01,8.8112e-04,9.5630e-05
3.6000e-01,1.7229e-04,-5.7216e-01,8.8109e-04,9.5624e-05
3.6375e-01,1.7772e-04,-5.7215e-01,8.8107e-04,9.5617e-05
3.6750e-01,1.8327e-04,-5.7213e-01,8.8104e-04,9.5611e-05
3.7125e-01,1.8894e-04,-5.7212e-01,8.8102e-04,9.5604e-05
3.7500e-01,1.9472e-04,-5.7211e-01,8.8099e-04,9.5597e-05
3.7875e-01,2.0062e-04,-5.7209e-01,8.8097e-04,9.5591e-05
3.8250e-01,2.0663e-04,-5.7208e-01,8.8094e-04,9.5584e-05
3.8625e-01,2.1276e-04,-5.7207e-01,8.8091e-04,9.5577e-05
3.9000e-01,2.1902e-04,-5.7205e-01,8.8089e-04,9.5570e-05
3.9375e-01,2.2539e-04,-5.7204e-01,8.8086e-04,9.5563e-05
3.9750e-01,2.3189e-04,-5.7202e-01,8.8083e-04,9.5556e-05
4.0125e-01,2.3851e-04,-5.7201e-01,8.8081e-04,9.5549e-05
4.0500e-01,2.4525e-04,-5.7199e-01,8.8078e-04,9.5542e-05
4.0875e-01,2.5213e-04,-5.7198e-01,8.8075e-04,9.5534e-05
4.1250e-01,2.5912e-04,-5.7196e-01,8.8072e-04,9.5527e-05
4.1625e-01,2.6625e-04,-5.7195e-01,8.8069e-04,9.5519e-05
4.2000e-01,2.7351e-04,-5.7193e-01,8.8066e-04,9.5512e-05
4.2375e-01,2.8089e-04,-5.7192e-01,8.8064e-04,9.5504e-05
4.2750e-01,2.8841e-04,-5.7190e-01,8.8061e-04,9.5497e-05
4.3125e-01,2.9606e-04,-5.7189e-01,8.8058e-04,9.5489e-05
4.3500e-01,3.0384e-04,-5.7187e-01,8.8055e-04,9.5481e-05
4.3875e-01,3.1176e-04,-5.7185e-01,8.8052e-04,9.5473e-05
4.4250e-01,3.1982e-04,-5.7184e-01,8.8049e-04,9.5466e-05
4.4625e-01,3.2801e-04,-5.7182e-01,8.8046e-04,9.5458e-05
4.5000e-01,3.3634e-04,-5.7180e-01,8.8043e-04,9.5450e-05
4.5375e-01,3.4482e-04,-5.7179e-01,8.8040e-04,9.5441e-05
4.5750e-01,3.5343e-04,-5.7177e-01,8.8036e-04,9.5433e-05
4.6125e-01,3.6218e-04,-5.7175e-01,8.8033e-04,9.5425e-05
4.6500e-01,3.7108e-04,-5.7174e-01,8.8030e-04,9.5417e-05
4.6875e-01,3.8012e-04,-5.7172e-01,8.8027e-04,9.5408e-05
4.7250e-01,3.8931e-04,-5.7170e-01,8.8024e-04,9.5400e-05
4.7625e-01,3.9864e-04,-5.7169e-01,8.8020e-04,9.5391e-05
4.8000e-01,4.0813e-04,-5.7167e-01,8.8017e-04,9.5383e-05
4.8375e-01,4.1776e-04,-5.7165e-01,8.8014e-04,9.5374e-05
4.8750e-01,4.2754e-04,-5.7163e-01,8.8010e-04,9.5366e-05
4.9125e-01,4.3747e-04,-5.7161e-01,8.8007e-04,9.5357e-05
4.9500e-01,4.4756e-04,-5.7160e-01,8.8004e-04,9.5348e-05
4.9875e-01,4.5779e-04,-5.7158e-01,8.8000e-04,9.5339e-05
5.0250e-01,4.6819e-04,-5.7156e-01,8.7997e-04,9.5330e-05
5.0625e-01,4.7874e-04,-5.7154e-01,8.7993e-04,9.5321e-05
5.1000e-01,4.8944e-04,-5.7152e-01,8.7990e-04,9.5312e-05
