r,m,nu,rho,P
2.8875e-01,1.6974e-04,-7.8527e-01,1.6825e-03,2.8198e-04
2.9250e-01,1.7644e-04,-7.8525e-01,1.6824e-03,2.8196e-04
2.9625e-01,1.8331e-04,-7.8523e-01,1.6824e-03,2.8194e-04
3.0000e-01,1.9035e-04,-7.8520e-01,1.6823e-03,2.8191e-04
3.0375e-01,1.9758e-04,-7.8518e-01,1.6823e-03,2.8189e-04
3.0750e-01,2.0498e-04,-7.8516e-01,1.6822e-03,2.8187e-04
3.1125e-01,2.1257e-04,-7.8513e-01,1.6822e-03,2.8184e-04
3.1500e-01,2.2034e-04,-7.8511e-01,1.6821e-03,2.8182e-04
3.1875e-01,2.2830e-04,-7.8508e-01,1.6821e-03,2.8179e-04
3.2250e-01,2.3645e-04,-7.8505e-01,1.6820e-03,2.8177e-04
3.2625e-01,2.4479e-04,-7.8503e-01,1.6820e-03,2.8174e-04
3.3000e-01,2.5333e-04,-7.8500e-01,1.6819e-03,2.8172e-04
3.3375e-01,2.6206e-04,-7.8498e-01,1.6819e-03,2.8169e-04
3.3750e-01,2.7098e-04,-7.8495e-01,1.6818e-03,2.8167e-04
3.4125e-01,2.8011e-04,-7.8492e-01,1.6818e-03,2.8164e-04
3.4500e-01,2.8944e-04,-7.8490e-01,1.6817e-03,2.8161e-04
3.4875e-01,2.9898e-04,-7.8487e-01,1.6817e-03,2.8158e-04
3.5250e-01,3.0872e-04,-7.8484e-01,1.6816e-03,2.8156e-04
3.5625e-01,3.1867e-04,-7.8481e-01,1.6816e-03,2.8153e-04
3.6000e-01,3.2883e-04,-7.8478e-01,1.6815e-03,2.8150e-04
3.6375e-01,3.3921e-04,-7.8475e-01,1.6814e-03,2.8147e-04
3.6750e-01,3.4980e-04,-7.8473e-01,1.6814e-03,2.8145e-04
3.7125e-01,3.6061e-04,-7.8470e-01,1.6813e-03,2.8142e-04
3.7500e-01,3.7164e-04,-7.8467e-01,1.6813e-03,2.8139e-04
3.7875e-01,3.8290e-04,-7.8464e-01,1.6812e-03,2.8136e-04
3.8250e-01,3.9438e-04,-7.8461e-01,1.6812e-03,2.8133e-04
3.8625e-01,4.0608e-04,-7.8458e-01,1.6811e-03,2.8130e-04
3.9000e-01,4.1801e-04,-7.8454e-01,1.6810e-03,2.8127e-04
3.9375e-01,4.3018e-04,-7.8451e-01,1.6810e-03,2.8124e-04
3.9750e-01,4.4258e-04,-7.8448e-01,1.6809e-03,2.8121e-04
4.0125e-01,4.5521e-04,-7.8445e-01,1.6808e-03,2.8118e-04
4.0500e-01,4.6808e-04,-7.8442e-01,1.6808e-03,2.8114e-04
4.0875e-01,4.8119e-04,-7.8439e-01,1.6807e-03,2.8111e-04
4.1250e-01,4.9455e-04,-7.8435e-01,1.6806e-03,2.8108e-04
4.1625e-01,5.0815e-04,-7.8432e-01,1.6806e-03,2.8105e-04
4.2000e-01,5.2199e-04,-7.8429e-01,1.6805e-03,2.8102e-04
4.2375e-01,5.3609e-04,-7.8425e-01,1.6804e-03,2.8098e-04
4.2750e-01,5.5043e-04,-7.8422e-01,1.6804e-03,2.8095e-04
4.3125e-01,5.6503e-04,-7.8419e-01,1.6803e-03,2.8092e-04
4.3500e-01,5.7989e-04,-7.8415e-01,1.6802e-03,2.8088e-04
4.3875e-01,5.9500e-04,-7.8412e-01,1.6802e-03,2.8085e-04
4.4250e-01,6.1037e-04,-7.8408e-01,1.6801e-03,2.8081e-04
4.4625e-01,6.2600e-04,-7.8405e-01,1.6800e-03,2.8078e-04
4.5000e-01,6.4190e-04,-7.8401e-01,1.6800e-03,2.8074e-04
4.5375e-01,6.5807e-04,-7.8397e-01,1.6799e-03,2.8071e-04
4.5750e-01,6.7450e-04,-7.8394e-01,1.6798e-03,2.8067e-04
4.6125e-01,6.9120e-04,-7.8390e-01,1.6797e-03,2.8064e-04
4.6500e-01,7.0818e-04,-7.8386e-01,1.6797e-03,2.8060e-04
4.6875e-01,7.2543e-04,-7.8383e-01,1.6796e-03,2.8056e-04
4.7250e-01,7.4297e-04,-7.8379e-01,1.6795e-03,2.8053e-04
4.7625e-01,7.6078e-04,-7.8375e-01,1.6794e-03,2.8049e-04
4.8000e-01,7.7887e-04,-7.8371e-01,1.6794e-03,2.8045e-04
4.8375e-01,7.9724e-04,-7.8368e-01,1.6793e-03,2.8042e-04
4.8750e-01,8.1590e-04,-7.8364e-01,1.6792e-03,2.8038e-04
4.9125e-01,8.3486e-04,-7.8360e-01,1.6791e-03,2.8034e-04
4.9500e-01,8.5410e-04,-7.8356e-01,1.6791e-03,2.8030e-04
4.9875e-01,8.7363e-04,-7.8352e-01,1.6790e-03,2.8026e-04
5.0250e-01,8.9346e-04,-7.8348e-01,1.6789e-03,2.8022e-04
5.0625e-01,9.1359e-04,-7.8344e-01,1.6788e-03,2.8018e-04
5.1000e-01,9.3401e-04,-7.8340e-01,1.6787e-03,2.8015e-04
5.1375e-01,9.5474e-04,-7.8336e-01,1.6787e-03,2.8011e-04
5.1750e-01,9.7577e-04,-7.8332e-01,1.6786e-03,2.8007e-04
5.2125e-01,9.9711e-04,-7.8328e-01,1.6785e-03,2.8002e-04
5.2500e-01,1.0188e-03,-7.8324e-01,1.6784e-03,2.7998e-04
5.2875e-01,1.0407e-03,-7.8319e-01,1.6783e-03,2.7994e-04
5.3250e-01,1.0630e-03,-7.8315e-01,1.6782e-03,2.7990e-04
5.3625e-01,1.0856e-03,-7.8311e-01,1.6782e-03,2.7986e-04
5.4000e-01,1.1085e-03,-7.8307e-01,1.6781e-03,2.7982e-04
5.4375e-01,1.1317e-03,-7.8302e-01,1.6780e-03,2.7978e-04
5.4750e-01,1.1552e-03,-7.8298e-01,1.6779e-03,2.7973e-04
5.5125e-01,1.1791e-03,-7.8294e-01,1.6778e-03,2.7969e-04
5.5500e-01,1.2033e-03,-7.8289e-01,1.6777e-03,2.7965e-04
5.5875e-01,1.2278e-03,-7.8285e-01,1.6776e-03,2.7960e-04
5.6250e-01,1.2526e-03,-7.8280e-01,1.6775e-03,2.7956e-04
5.6625e-01,1.2778e-03,-7.8276e-01,1.6775e-03,2.7952e-04
5.7000e-01,1.3033e-03,-7.8271e-01,1.6774e-03,2.7947e-04
5.7375e-01,1.3292e-03,-7.8267e-01,1.6773e-03,2.7943e-04
5.7750e-01,1.3554e-03,-7.8262e-01,1.6772e-03,2.7938e-04
5.8125e-01,1.3819e-03,-7.8258e-01,1.6771e-03,2.7934e-04
5.8500e-01,1.4088e-03,-7.8253e-01,1.6770e-03,2.7929e-04
5.8875e-01,1.4360e-03,-7.8248e-01,1.6769e-03,2.7925e-04
5.9250e-01,1.4636e-03,-7.8244e-01,1.6768e-03,2.7920e-04
5.9625e-01,1.4915e-03,-7.8239e-01,1.6767e-03,2.7916e-04
6.0000e-01,1.5197e-03,-7.8234e-01,1.6766e-03,2.7911e-04
6.0375e-01,1.5484e-03,-7.8229e-01,1.6765e-03,2.7906e-04
6.0750e-01,1.5773e-03,-7.8225e-01,1.6764e-03,2.7902e-04
6.1125e-01,1.6067e-03,-7.8220e-01,1.6763e-03,2.7897e-04
6.1500e-01,1.6364e-03,-7.8215e-01,1.6762e-03,2.7892e-04
6.1875e-01,1.6664e-03,-7.8210e-01,1.6761e-03,2.7887e-04
6.2250e-01,1.6968e-03,-7.8205e-01,1.6760e-03,2.7882e-04
6.2625e-01,1.7276e-03,-7.8200e-01,1.6759e-03,2.7878e-04
6.3000e-01,1.7588e-03,-7.8195e-01,1.6758e-03,2.7873e-04
6.3375e-01,1.7903e-03,-7.8190e-01,1.6757e-03,2.7868e-04
6.3750e-01,1.8222e-03,-7.8185e-01,1.6756e-03,2.7863e-04
6.4125e-01,1.8545e-03,-7.8180e-01,1.6755e-03,2.7858e-04
6.4500e-01,1.8872e-03,-7.8175e-01,1.6754e-03,2.7853e-04
6.4875e-01,1.9202e-03,-7.8170e-01,1.6753e-03,2.7848e-04
6.5250e-01,1.9536e-03,-7.8164e-01,1.6752e-03,2.7843e-04
6.5625e-01,1.9874e-03,-7.8159e-01,1.6751e-03,2.7838e-04
6.6000e-01,2.0216e-03,-7.8154e-01,1.6750e-03,2.7833e-04
6.6375e-01,2.0562e-03,-7.8149e-01,1.6749e-03,2.7827e-04
6.6750e-01,2.0912e-03,-7.8143e-01,1.6748e-03,2.7822e-04
6.7125e-01,2.1265e-03,-7.8138e-01,1.6747e-03,2.7817e-04
6.7500e-01,2.1623e-03,-7.8133e-01,1.6746e-03,2.7812e-04
6.7875e-01,2.1984e-03,-7.8127e-01,1.6745e-03,2.7807e-04
6.8250e-01,2.2350e-03,-7.8122e-01,1.6744e-03,2.7801e-04
6.8625e-01,2.2719e-03,-7.8117e-01,1.6743e-03,2.7796e-04
6.9000e-01,2.3093e-03,-7.8111e-01,1.6742e-03,2.7791e-04
6.9375e-01,2.3471e-03,-7.8106e-01,1.6741e-03,2.7785e-04
6.9750e-01,2.3852e-03,-7.8100e-01,1.6739e-03,2.7780e-04
7.0125e-01,2.4238e-03,-7.8095e-01,1.6738e-03,2.7775e-04
7.0500e-01,2.4628e-03,-7.8089e-01,1.6737e-03,2.7769e-04
7.0875e-01,2.5022e-03,-7.8083e-01,1.6736e-03,2.7764e-04
7.1250e-01,2.5420e-03,-7.8078e-01,1.6735e-03,2.7758e-04
7.1625e-01,2.5823e-03,-7.8072e-01,1.6734e-03,2.7753e-04
7.2000e-01,2.6230e-03,-7.8066e-01,1.6733e-03,2.7747e-04
7.2375e-01,2.6640e-03,-7.8061e-01,1.6732e-03,2.7741e-04
7.2750e-01,2.7056e-03,-7.8055e-01,1.6730e-03,2.7736e-04
7.3125e-01,2.7475e-03,-7.8049e-01,1.6729e-03,2.7730e-04
7.3500e-01,2.7899e-03,-7.8043e-01,1.6728e-03,2.7724e-04
7.3875e-01,2.8327e-03,-7.8037e-01,1.6727e-03,2.7719e-04
7.4250e-01,2.8759e-03,-7.8031e-01,1.6726e-03,2.7713e-04
7.4625e-01,2.9196e-03,-7.8026e-01,1.6725e-03,2.7707e-04
7.5000e-01,2.9637e-03,-7.8020e-01,1.6723e-03,2.7701e-04
7.5375e-01,3.0082e-03,-7.8014e-01,1.6722e-03,2.7696e-04
7.5750e-01,3.0532e-03,-7.8008e-01,1.6721e-03,2.7690e-04
7.6125e-01,3.0987e-03,-7.8002e-01,1.6720e-03,2.7684e-04
7.6500e-01,3.1445e-03,-7.7996e-01,1.6719e-03,2.7678e-04
7.6875e-01,3.1909e-03,-7.7989e-01,1.6717e-03,2.7672e-04
7.7250e-01,3.2377e-03,-7.7983e-01,1.6716e-03,2.7666e-04
7.7625e-01,3.2849e-03,-7.7977e-01,1.6715e-03,2.7660e-04
7.8000e-01,3.3326e-03,-7.7971e-01,1.6714e-03,2.7654e-04
7.8375e-01,3.3807e-03,-7.7965e-01,1.6712e-03,2.7648e-04
7.8750e-01,3.4293e-03,-7.7959e-01,1.6711e-03,2.7642e-04
7.9125e-01,3.4784e-03,-7.7952e-01,1.6710e-03,2.7636e-04
7.9500e-01,3.5279e-03,-7.7946e-01,1.6709e-03,2.7630e-04
7.9875e-01,3.5779e-03,-7.7940e-01,1.6707e-03,2.7624e-04
8.0250e-01,3.6284e-03,-7.7933e-01,1.6706e-03,2.7617e-04
8.0625e-01,3.6793e-03,-7.7927e-01,1.6705e-03,2.7611e-04
8.1000e-01,3.7307e-03,-7.7920e-01,1.6703e-03,2.7605e-04
8.1375e-01,3.7826e-03,-7.7914e-01,1.6702e-03,2.7599e-04
8.1750e-01,3.8350e-03,-7.7908e-01,1.6701e-03,2.7592e-04
8.2125e-01,3.8878e-03,-7.7901e-01,1.6700e-03,2.7586e-04
8.2500e-01,3.9411e-03,-7.7895e-01,1.6698e-03,2.7580e-04
8.2875e-01,3.9949e-03,-7.7888e-01,1.6697e-03,2.7573e-04
8.3250e-01,4.0492e-03,-7.7881e-01,1.6696e-03,2.7567e-04
