r,m,nu,rho,P
2.8875e-01,1.5145e-04,-7.3548e-01,1.5011e-03,2.2436e-04
2.9250e-01,1.5743e-04,-7.3546e-01,1.5011e-03,2.2434e-04
2.9625e-01,1.6356e-04,-7.3544e-01,1.5010e-03,2.2433e-04
3.0000e-01,1.6984e-04,-7.3542e-01,1.5010e-03,2.2431e-04
3.0375e-01,1.7629e-04,-7.3540e-01,1.5010e-03,2.2429e-04
3.0750e-01,1.8290e-04,-7.3538e-01,1.5009e-03,2.2427e-04
3.1125e-01,1.8966e-04,-7.3536e-01,1.5009e-03,2.2425e-04
3.1500e-01,1.9660e-04,-7.3533e-01,1.5008e-03,2.2424e-04
3.1875e-01,2.0370e-04,-7.3531e-01,1.5008e-03,2.2422e-04
3.2250e-01,2.1097e-04,-7.3529e-01,1.5007e-03,2.2420e-04
3.2625e-01,2.1841e-04,-7.3527e-01,1.5007e-03,2.2418e-04
3.3000e-01,2.2603e-04,-7.3525e-01,1.5006e-03,2.2416e-04
3.3375e-01,2.3381e-04,-7.3522e-01,1.5006e-03,2.2414e-04
3.3750e-01,2.4178e-04,-7.3520e-01,1.5005e-03,2.2412e-04
3.4125e-01,2.4992e-04,-7.3518e-01,1.5005e-03,2.2410e-04
3.4500e-01,2.5825e-04,-7.3515e-01,1.5004e-03,2.2408e-04
3.4875e-01,2.6676e-04,-7.3513e-01,1.5004e-03,2.2406e-04
3.5250e-01,2.7545e-04,-7.3511e-01,1.5003e-03,2.2404e-04
3.5625e-01,2.8433e-04,-7.3508e-01,1.5002e-03,2.2402e-04
3.6000e-01,2.9339e-04,-7.3506e-01,1.5002e-03,2.2400e-04
3.6375e-01,3.0265e-04,-7.3503e-01,1.5001e-03,2.2398e-04
3.6750e-01,3.1210e-04,-7.3501e-01,1.5001e-03,2.2395e-04
3.7125e-01,3.2175e-04,-7.3498e-01,1.5000e-03,2.2393e-04
3.7500e-01,3.3159e-04,-7.3496e-01,1.5000e-03,2.2391e-04
3.7875e-01,3.4163e-04,-7.3493e-01,1.4999e-03,2.2389e-04
3.8250e-01,3.5187e-04,-7.3490e-01,1.4998e-03,2.2387e-04
3.8625e-01,3.6231e-04,-7.3488e-01,1.4998e-03,2.2384e-04
3.9000e-01,3.7295e-04,-7.3485e-01,1.4997e-03,2.2382e-04
3.9375e-01,3.8381e-04,-7.3482e-01,1.4997e-03,2.2380e-04
3.9750e-01,3.9487e-04,-7.3480e-01,1.4996e-03,2.2377e-04
4.0125e-01,4.0614e-04,-7.3477e-01,1.4995e-03,2.2375e-04
4.0500e-01,4.1762e-04,-7.3474e-01,1.4995e-03,2.2373e-04
4.0875e-01,4.2932e-04,-7.3471e-01,1.4994e-03,2.2370e-04
4.1250e-01,4.4124e-04,-7.3469e-01,1.4994e-03,2.2368e-04
4.1625e-01,4.5337e-04,-7.3466e-01,1.4993e-03,2.2365e-04
4.2000e-01,4.6572e-04,-7.3463e-01,1.4992e-03,2.2363e-04
4.2375e-01,4.7829e-04,-7.3460e-01,1.4992e-03,2.2360e-04
4.2750e-01,4.9109e-04,-7.3457e-01,1.4991e-03,2.2358e-04
4.3125e-01,5.0411e-04,-7.3454e-01,1.4990e-03,2.2355e-04
4.3500e-01,5.1737e-04,-7.3451e-01,1.4990e-03,2.2353e-04
4.3875e-01,5.3085e-04,-7.3448e-01,1.4989e-03,2.2350e-04
4.4250e-01,5.4456e-04,-7.3445e-01,1.4988e-03,2.2348e-04
4.4625e-01,5.5851e-04,-7.3442e-01,1.4988e-03,2.2345e-04
4.5000e-01,5.7269e-04,-7.3439e-01,1.4987e-03,2.2342e-04
4.5375e-01,5.8711e-04,-7.3436e-01,1.4986e-03,2.2340e-04
4.5750e-01,6.0177e-04,-7.3433e-01,1.4986e-03,2.2337e-04
4.6125e-01,6.1667e-04,-7.3430e-01,1.4985e-03,2.2334e-04
4.6500e-01,6.3182e-04,-7.3427e-01,1.4984e-03,2.2332e-04
4.6875e-01,6.4721e-04,-7.3424e-01,1.4983e-03,2.2329e-04
4.7250e-01,6.6285e-04,-7.3420e-01,1.4983e-03,2.2326e-04
4.7625e-01,6.7874e-04,-7.3417e-01,1.4982e-03,2.2323e-04
4.8000e-01,6.9488e-04,-7.3414e-01,1.4981e-03,2.2321e-04
4.8375e-01,7.1127e-04,-7.3410e-01,1.4981e-03,2.2318e-04
4.8750e-01,7.2792e-04,-7.3407e-01,1.4980e-03,2.2315e-04
