r,m,nu,rho,P
2.8875e-01,9.9559e-05,-5.9435e-01,9.8683e-04,1.1085e-04
2.9250e-01,1.0349e-04,-5.9433e-01,9.8680e-04,1.1085e-04
2.9625e-01,1.0752e-04,-5.9432e-01,9.8677e-04,1.1084e-04
3.0000e-01,1.1165e-04,-5.9431e-01,9.8675e-04,1.1083e-04
3.0375e-01,1.1589e-04,-5.9430e-01,9.8672e-04,1.1083e-04
3.0750e-01,1.2023e-04,-5.9428e-01,9.8669e-04,1.1082e-04
3.1125e-01,1.2468e-04,-5.9427e-01,9.8666e-04,1.1081e-04
3.1500e-01,1.2924e-04,-5.9426e-01,9.8663e-04,1.1080e-04
3.1875e-01,1.3391e-04,-5.9424e-01,9.8660e-04,1.1080e-04
3.2250e-01,1.3869e-04,-5.9423e-01,9.8657e-04,1.1079e-04
3.2625e-01,1.4358e-04,-5.9422e-01,9.8654e-04,1.1078e-04
3.3000e-01,1.4858e-04,-5.9420e-01,9.8651e-04,1.1078e-04
3.3375e-01,1.5370e-04,-5.9419e-01,9.8648e-04,1.1077e-04
3.3750e-01,1.5894e-04,-5.9418e-01,9.8645e-04,1.1076e-04
3.4125e-01,1.6429e-04,-5.9416e-01,9.8642e-04,1.1075e-04
3.4500e-01,1.6977e-04,-5.9415e-01,9.8639e-04,1.1074e-04
3.4875e-01,1.7536e-04,-5.9413e-01,9.8635e-04,1.1074e-04
3.5250e-01,1.8107e-04,-5.9412e-01,9.8632e-04,1.1073e-04
3.5625e-01,1.8691e-04,-5.9410e-01,9.8629e-04,1.1072e-04
3.6000e-01,1.9287e-04,-5.9409e-01,9.8625e-04,1.1071e-04
3.6375e-01,1.9896e-04,-5.9408e-01,9.8622e-04,1.1070e-04
3.6750e-01,2.0517e-04,-5.9406e-01,9.8619e-04,1.1070e-04
3.7125e-01,2.1151e-04,-5.9404e-01,9.8615e-04,1.1069e-04
3.7500e-01,2.1798e-04,-5.9403e-01,9.8612e-04,1.1068e-04
3.7875e-01,2.2458e-04,-5.9401e-01,9.8608e-04,1.1067e-04
3.8250e-01,2.3131e-04,-5.9400e-01,9.8605e-04,1.1066e-04
3.8625e-01,2.3818e-04,-5.9398e-01,9.8601e-04,1.1065e-04
3.9000e-01,2.4518e-04,-5.9397e-01,9.8598e-04,1.1064e-04
3.9375e-01,2.5231e-04,-5.9395e-01,9.8594e-04,1.1064e-04
3.9750e-01,2.5958e-04,-5.9393e-01,9.8590e-04,1.1063e-04
4.0125e-01,2.6700e-04,-5.9392e-01,9.8586e-04,1.1062e-04
4.0500e-01,2.7454e-04,-5.9390e-01,9.8583e-04,1.1061e-04
4.0875e-01,2.8224e-04,-5.9388e-01,9.8579e-04,1.1060e-04
4.1250e-01,2.9007e-04,-5.9387e-01,9.8575e-04,1.1059e-04
4.1625e-01,2.9804e-04,-5.9385e-01,9.8571e-04,1.1058e-04
4.2000e-01,3.0617e-04,-5.9383e-01,9.8567e-04,1.1057e-04
4.2375e-01,3.1443e-04,-5.9381e-01,9.8563e-04,1.1056e-04
4.2750e-01,3.2285e-04,-5.9380e-01,9.8559e-04,1.1055e-04
4.3125e-01,3.3141e-04,-5.9378e-01,9.8555e-04,1.1054e-04
4.3500e-01,3.4012e-04,-5.9376e-01,9.8551e-04,1.1053e-04
4.3875e-01,3.4898e-04,-5.9374e-01,9.8547e-04,1.1052e-04
4.4250e-01,3.5800e-04,-5.9372e-01,9.8543e-04,1.1051e-04
4.4625e-01,3.6717e-04,-5.9371e-01,9.8539e-04,1.1050e-04
4.5000e-01,3.7650e-04,-5.9369e-01,9.8535e-04,1.1049e-04
4.5375e-01,3.8598e-04,-5.9367e-01,9.8531e-04,1.1048e-04
4.5750e-01,3.9562e-04,-5.9365e-01,9.8526e-04,1.1047e-04
4.6125e-01,4.0541e-04,-5.9363e-01,9.8522e-04,1.1046e-04
4.6500e-01,4.1537e-04,-5.9361e-01,9.8518e-04,1.1045e-04
4.6875e-01,4.2549e-04,-5.9359e-01,9.8514e-04,1.1044e-04
4.7250e-01,4.3577e-04,-5.9357e-01,9.8509e-04,1.1043e-04
4.7625e-01,4.4622e-04,-5.9355e-01,9.8505e-04,1.1042e-04
4.8000e-01,4.5683e-04,-5.9353e-01,9.8500e-04,1.1041e-04
4.8375e-01,4.6761e-04,-5.9351e-01,9.8496e-04,1.1040e-04
4.8750e-01,4.7855e-04,-5.9349e-01,9.8491e-04,1.1039e-04
4.9125e-01,4.8967e-04,-5.9347e-01,9.8487e-04,1.1037e-04
4.9500e-01,5.0095e-04,-5.9345e-01,9.8482e-04,1.1036e-04
4.9875e-01,5.1241e-04,-5.9343e-01,9.8477e-04,1.1035e-04
5.0250e-01,5.2404e-04,-5.9341e-01,9.8473e-04,1.1034e-04
5.0625e-01,5.3585e-04,-5.9339e-01,9.8468e-04,1.1033e-04
5.1000e-01,5.4783e-04,-5.9337e-01,9.8463e-04,1.1032e-04
5.1375e-01,5.5998e-04,-5.9335e-01,9.8459e-04,1.1031e-04
5.1750e-01,5.7232e-04,-5.9333e-01,9.8454e-04,1.1029e-04
5.2125e-01,5.8483e-04,-5.9330e-01,9.8449e-04,1.1028e-04
5.2500e-01,5.9753e-04,-5.9328e-01,9.8444e-04,1.1027e-04
5.2875e-01,6.1041e-04,-5.9326e-01,9.8439e-04,1.1026e-04
5.3250e-01,6.2347e-04,-5.9324e-01,9.8434e-04,1.1025e-04
5.3625e-01,6.3671e-04,-5.9322e-01,9.8429e-04,1.1023e-04
5.4000e-01,6.5015e-04,-5.9319e-01,9.8424e-04,1.1022e-04
5.4375e-01,6.6376e-04,-5.9317e-01,9.8419e-04,1.1021e-04
5.4750e-01,6.7757e-04,-5.9315e-01,9.8414e-04,1.1020e-04
5.5125e-01,6.9157e-04,-5.9313e-01,9.8409e-04,1.1018e-04
5.5500e-01,7.0576e-04,-5.9310e-01,9.8404e-04,1.1017e-04
5.5875e-01,7.2014e-04,-5.9308e-01,9.8399e-04,1.1016e-04
5.6250e-01,7.3471e-04,-5.9306e-01,9.8394e-04,1.1015e-04
5.6625e-01,7.4948e-04,-5.9303e-01,9.8388e-04,1.1013e-04
5.7000e-01,7.6444e-04,-5.9301e-01,9.8383e-04,1.1012e-04
5.7375e-01,7.7960e-04,-5.9299e-01,9.8378e-04,1.1011e-04
5.7750e-01,7.9497e-04,-5.9296e-01,9.8372e-04,1.1010e-04
5.8125e-01,8.1053e-04,-5.9294e-01,9.8367e-04,1.1008e-04
5.8500e-01,8.2629e-04,-5.9291e-01,9.8362e-04,1.1007e-04
5.8875e-01,8.4225e-04,-5.9289e-01,9.8356e-04,1.1006e-04
5.9250e-01,8.5842e-04,-5.9287e-01,9.8351e-04,1.1004e-04
5.9625e-01,8.7479e-04,-5.9284e-01,9.8345e-04,1.1003e-04
6.0000e-01,8.9137e-04,-5.9282e-01,9.8339e-04,1.1002e-04
6.0375e-01,9.0816e-04,-5.9279e-01,9.8334e-04,1.1000e-04
6.0750e-01,9.2515e-04,-5.9277e-01,9.8328e-04,1.0999e-04
6.1125e-01,9.4236e-04,-5.9274e-01,9.8323e-04,1.0997e-04
6.1500e-01,9.5978e-04,-5.9272e-01,9.8317e-04,1.0996e-04
6.1875e-01,9.7741e-04,-5.9269e-01,9.8311e-04,1.0995e-04
6.2250e-01,9.9525e-04,-5.9266e-01,9.8305e-04,1.0993e-04
6.2625e-01,1.0133e-03,-5.9264e-01,9.8300e-04,1.0992e-04
