r,m,nu,rho,P
0.0000e+00,0.0000e+00,-5.7107e-01,1.5708e-03,1.8351e-04
3.7500e-03,3.4700e-10,-5.7107e-01,1.5708e-03,1.8351e-04
7.5000e-03,2.7759e-09,-5.7107e-01,1.5708e-03,1.8351e-04
1.1250e-02,9.3685e-09,-5.7107e-01,1.5708e-03,1.8351e-04
1.5000e-02,2.2207e-08,-5.7107e-01,1.5708e-03,1.8351e-04
1.8750e-02,4.3373e-08,-5.7107e-01,1.5708e-03,1.8351e-04
2.2500e-02,7.4948e-08,-5.7107e-01,1.5708e-03,1.8351e-04
2.6250e-02,1.1901e-07,-5.7106e-01,1.5708e-03,1.8351e-04
3.0000e-02,1.7765e-07,-5.7106e-01,1.5708e-03,1.8351e-04
3.3750e-02,2.5295e-07,-5.7106e-01,1.5708e-03,1.8351e-04
3.7500e-02,3.4698e-07,-5.7106e-01,1.5708e-03,1.8350e-04
4.1250e-02,4.6183e-07,-5.7105e-01,1.5708e-03,1.8350e-04
4.5000e-02,5.9958e-07,-5.7105e-01,1.5708e-03,1.8350e-04
4.8750e-02,7.6231e-07,-5.7105e-01,1.5708e-03,1.8350e-04
5.2500e-02,9.5210e-07,-5.7105e-01,1.5708e-03,1.8349e-04
5.6250e-02,1.1710e-06,-5.7104e-01,1.5708e-03,1.8349e-04
6.0000e-02,1.4212e-06,-5.7104e-01,1.5707e-03,1.8349e-04
6.3750e-02,1.7047e-06,-5.7103e-01,1.5707e-03,1.8348e-04
6.7500e-02,2.0235e-06,-5.7103e-01,1.5707e-03,1.8348e-04
7.1250e-02,2.3799e-06,-5.7102e-01,1.5707e-03,1.8348e-04
7.5000e-02,2.7757e-06,-5.7102e-01,1.5707e-03,1.8347e-04
7.8750e-02,3.2133e-06,-5.7101e-01,1.5707e-03,1.8347e-04
8.2500e-02,3.6945e-06,-5.7101e-01,1.5707e-03,1.8346e-04
8.6250e-02,4.2215e-06,-5.7100e-01,1.5707e-03,1.8346e-04
9.0000e-02,4.7964e-06,-5.7100e-01,1.5707e-03,1.8345e-04
9.3750e-02,5.4212e-06,-5.7099e-01,1.5706e-03,1.8345e-04
9.7500e-02,6.0981e-06,-5.7099e-01,1.5706e-03,1.8344e-04
1.0125e-01,6.8291e-06,-5.7098e-01,1.5706e-03,1.8343e-04
1.0500e-01,7.6163e-06,-5.7097e-01,1.5706e-03,1.8343e-04
1.0875e-01,8.4618e-06,-5.7096e-01,1.5706e-03,1.8342e-04
1.1250e-01,9.3676e-06,-5.7096e-01,1.5706e-03,1.8342e-04
1.1625e-01,1.0336e-05,-5.7095e-01,1.5705e-03,1.8341e-04
1.2000e-01,1.1369e-05,-5.7094e-01,1.5705e-03,1.8340e-04
1.2375e-01,1.2468e-05,-5.7093e-01,1.5705e-03,1.8340e-04
1.2750e-01,1.3636e-05,-5.7093e-01,1.5705e-03,1.8339e-04
1.3125e-01,1.4875e-05,-5.7092e-01,1.5705e-03,1.8338e-04
1.3500e-01,1.6187e-05,-5.7091e-01,1.5705e-03,1.8337e-04
1.3875e-01,1.7573e-05,-5.7090e-01,1.5704e-03,1.8336e-04
1.4250e-01,1.9037e-05,-5.7089e-01,1.5704e-03,1.8336e-04
1.4625e-01,2.0579e-05,-5.7088e-01,1.5704e-03,1.8335e-04
1.5000e-01,2.2203e-05,-5.7087e-01,1.5704e-03,1.8334e-04
1.5375e-01,2.3910e-05,-5.7086e-01,1.5704e-03,1.8333e-04
1.5750e-01,2.5702e-05,-5.7085e-01,1.5703e-03,1.8332e-04
1.6125e-01,2.7582e-05,-5.7084e-01,1.5703e-03,1.8331e-04
1.6500e-01,2.9551e-05,-5.7083e-01,1.5703e-03,1.8330e-04
1.6875e-01,3.1612e-05,-5.7082e-01,1.5703e-03,1.8329e-04
1.7250e-01,3.3766e-05,-5.7081e-01,1.5702e-03,1.8328e-04
1.7625e-01,3.6016e-05,-5.7079e-01,1.5702e-03,1.8327e-04
1.8000e-01,3.8364e-05,-5.7078e-01,1.5702e-03,1.8326e-04
1.8375e-01,4.0812e-05,-5.7077e-01,1.5702e-03,1.8325e-04
1.8750e-01,4.3361e-05,-5.7076e-01,1.5701e-03,1.8324e-04
1.9125e-01,4.6015e-05,-5.7074e-01,1.5701e-03,1.8323e-04
1.9500e-01,4.8775e-05,-5.7073e-01,1.5701e-03,1.8322e-04
1.9875e-01,5.1642e-05,-5.7072e-01,1.5700e-03,1.8321e-04
2.0250e-01,5.4620e-05,-5.7071e-01,1.5700e-03,1.8320e-04
2.0625e-01,5.7711e-05,-5.7069e-01,1.5700e-03,1.8318e-04
2.1000e-01,6.0916e-05,-5.7068e-01,1.5700e-03,1.8317e-04
2.1375e-01,6.4237e-05,-5.7066e-01,1.5699e-03,1.8316e-04
