a,b,rho,P
,,3.87E+08,1.01E+26
,,4.18E+08,1.12E+26
,,4.51E+08,1.24E+26
,,4.87E+08,1.37E+26
,,5.26E+08,1.52E+26
,,5.68E+08,1.68E+26
,,6.13E+08,1.86E+26
,,6.62E+08,2.06E+26
,,7.15E+08,2.29E+26
,,7.72E+08,2.53E+26
,,8.34E+08,2.80E+26
,,9.01E+08,3.10E+26
,,9.72E+08,3.43E+26
,,1.05E+09,3.80E+26
,,1.13E+09,4.20E+26
,,1.22E+09,4.65E+26
,,1.32E+09,5.14E+26
,,1.43E+09,5.69E+26
,,1.54E+09,6.30E+26
,,1.66E+09,6.96E+26
,,1.80E+09,7.70E+26
,,1.94E+09,8.52E+26
,,2.10E+09,9.42E+26
,,2.26E+09,1.04E+27
,,2.44E+09,1.15E+27
,,2.64E+09,1.27E+27
,,2.85E+09,1.41E+27
,,3.08E+09,1.56E+27
,,3.32E+09,1.72E+27
,,3.59E+09,1.90E+27
,,3.87E+09,2.10E+27
,,4.18E+09,2.32E+27
,,4.52E+09,2.57E+27
,,4.88E+09,2.83E+27
,,5.27E+09,3.13E+27
,,5.69E+09,3.46E+27
,,6.14E+09,3.82E+27
,,6.63E+09,4.22E+27
,,7.16E+09,4.66E+27
,,7.73E+09,5.15E+27
,,8.35E+09,5.68E+27
,,9.02E+09,6.28E+27
,,9.74E+09,6.93E+27
,,1.05E+10,7.65E+27
,,1.14E+10,8.45E+27
,,1.23E+10,9.32E+27
,,1.32E+10,1.03E+28
,,1.43E+10,1.14E+28
,,1.54E+10,1.25E+28
,,1.67E+10,1.38E+28
,,1.80E+10,1.52E+28
,,1.94E+10,1.68E+28
,,2.10E+10,1.86E+28
,,2.27E+10,2.05E+28
,,2.45E+10,2.26E+28
,,2.64E+10,2.49E+28
,,2.85E+10,2.74E+28
,,3.08E+10,3.02E+28
,,3.33E+10,3.33E+28
,,3.59E+10,3.67E+28
,,3.88E+10,4.05E+28
,,4.19E+10,4.46E+28
,,4.53E+10,4.92E+28
,,4.89E+10,5.42E+28
,,5.28E+10,5.97E+28
,,5.70E+10,6.57E+28
,,6.16E+10,7.24E+28
,,6.65E+10,7.97E+28
,,7.18E+10,8.77E+28
,,7.75E+10,9.66E+28
,,8.37E+10,1.06E+29
,,9.04E+10,1.17E+29
,,9.76E+10,1.29E+29
,,1.05E+11,1.42E+29
,,1.14E+11,1.56E+29
,,1.23E+11,1.71E+29
,,1.33E+11,1.88E+29
,,1.43E+11,2.07E+29
,,1.55E+11,2.28E+29
,,1.67E+11,2.50E+29
,,1.81E+11,2.75E+29
,,1.95E+11,3.02E+29
,,2.11E+11,3.32E+29
,,2.27E+11,3.65E+29
,,2.46E+11,4.01E+29
,,2.65E+11,4.40E+29
,,2.86E+11,4.83E+29
,,3.09E+11,5.30E+29
,,3.34E+11,5.82E+29
,,3.61E+11,6.38E+29
,,3.90E+11,6.96E+29
,,4.21E+11,7.56E+29
,,4.54E+11,8.05E+29
,,4.91E+11,8.35E+29
,,5.30E+11,8.65E+29
,,5.72E+11,8.96E+29
,,6.18E+11,9.28E+29
,,6.67E+11,9.63E+29
,,7.21E+11,1.00E+30
,,7.78E+11,1.04E+30
,,8.40E+11,1.09E+30
,,9.08E+11,1.14E+30
,,9.80E+11,1.19E+30
,,1.06E+12,1.25E+30
,,1.14E+12,1.32E+30
,,1.23E+12,1.39E+30
,,1.33E+12,1.47E+30
,,1.44E+12,1.57E+30
,,1.55E+12,1.67E+30
,,1.68E+12,1.78E+30
,,1.81E+12,1.91E+30
,,1.96E+12,2.05E+30
,,2.11E+12,2.21E+30
,,2.28E+12,2.38E+30
,,2.46E+12,2.58E+30
,,2.66E+12,2.80E+30
,,2.87E+12,3.04E+30
,,3.10E+12,3.31E+30
,,3.35E+12,3.62E+30
,,3.62E+12,3.96E+30
,,3.91E+12,4.33E+30
,,4.22E+12,4.75E+30
,,4.56E+12,5.22E+30
,,4.92E+12,5.75E+30
,,5.31E+12,6.33E+30
,,5.74E+12,6.98E+30
,,6.20E+12,7.70E+30
,,6.69E+12,8.51E+30
,,7.23E+12,9.41E+30
,,7.80E+12,1.04E+31
,,8.43E+12,1.15E+31
,,9.10E+12,1.27E+31
,,9.83E+12,1.41E+31
,,1.06E+13,1.56E+31
,,1.15E+13,1.73E+31
,,1.24E+13,1.92E+31
,,1.34E+13,2.13E+31
,,1.44E+13,2.36E+31
,,1.56E+13,2.61E+31
,,1.68E+13,2.89E+31
,,1.82E+13,3.21E+31
,,1.96E+13,3.55E+31
,,2.12E+13,3.94E+31
,,2.29E+13,4.36E+31
,,2.47E+13,4.84E+31
,,2.67E+13,5.36E+31
,,2.88E+13,5.94E+31
,,3.12E+13,6.59E+31
,,3.36E+13,7.31E+31
,,3.63E+13,8.12E+31
,,3.92E+13,9.02E+31
,,4.24E+13,1.00E+32
,,4.58E+13,1.12E+32
,,4.94E+13,1.25E+32
,,5.34E+13,1.39E+32
,,5.77E+13,1.56E+32
,,6.23E+13,1.75E+32
,,6.73E+13,1.97E+32
,,7.26E+13,2.23E+32
,,7.85E+13,2.53E+32
,,8.47E+13,2.88E+32
,,9.15E+13,3.31E+32
,,9.89E+13,3.83E+32
,,1.07E+14,4.39E+32
,,1.15E+14,4.98E+32
,,1.25E+14,5.49E+32
,,1.35E+14,6.55E+32
,,1.45E+14,7.89E+32
,,1.57E+14,9.60E+32
,,1.70E+14,1.18E+33
,,1.83E+14,1.46E+33
,,1.98E+14,1.81E+33
,,2.14E+14,2.28E+33
,,2.31E+14,2.86E+33
,,2.50E+14,3.59E+33
,,2.70E+14,4.54E+33
,,2.93E+14,5.72E+33
,,3.16E+14,7.20E+33
,,3.42E+14,9.08E+33
,,3.71E+14,1.14E+34
,,4.01E+14,1.43E+34
,,4.35E+14,1.80E+34
,,4.71E+14,2.26E+34
,,5.11E+14,2.85E+34
,,5.55E+14,3.59E+34
,,6.02E+14,4.52E+34
,,6.55E+14,5.70E+34
,,7.13E+14,7.21E+34
,,7.77E+14,9.11E+34
,,8.48E+14,1.15E+35
,,9.27E+14,1.46E+35
,,1.02E+15,1.84E+35
,,1.12E+15,2.33E+35
,,1.23E+15,2.95E+35
,,1.35E+15,3.73E+35
,,1.50E+15,4.71E+35
,,1.67E+15,5.96E+35
,,1.86E+15,7.52E+35
,,2.08E+15,9.49E+35
,,2.34E+15,1.18E+36
,,2.65E+15,1.46E+36
,,3.01E+15,1.78E+36
,,3.44E+15,2.17E+36
,,3.96E+15,2.63E+36
,,4.58E+15,3.19E+36
,,5.33E+15,3.86E+36
,,6.23E+15,4.68E+36
,,7.34E+15,5.67E+36
,,8.69E+15,6.89E+36
,,1.04E+16,8.38E+36
,,1.24E+16,1.02E+37
,,1.49E+16,1.24E+37
,,1.79E+16,1.52E+37
,,2.17E+16,1.86E+37
,,2.64E+16,2.28E+37
,,3.22E+16,2.80E+37
,,3.95E+16,3.46E+37
,,4.86E+16,4.27E+37
,,5.99E+16,5.29E+37
,,7.41E+16,6.57E+37
,,9.20E+16,8.18E+37
,,1.14E+17,1.02E+38
,,1.43E+17,1.27E+38
,,1.78E+17,1.59E+38
,,2.98E+17,2.67E+38
,,4.98E+17,4.47E+38
,,8.32E+17,7.47E+38
,,1.39E+18,1.25E+39
,,2.32E+18,2.09E+39
