a,b,rho,P
178,178,2.00E+10,1.82E+28
179,179,2.19E+10,2.06E+28
180,180,2.41E+10,2.32E+28
181,181,2.64E+10,2.61E+28
182,182,2.89E+10,2.93E+28
183,183,3.17E+10,3.27E+28
184,184,3.48E+10,3.65E+28
185,185,3.82E+10,4.07E+28
186,186,4.18E+10,4.54E+28
187,187,4.59E+10,5.08E+28
188,188,5.03E+10,5.73E+28
189,189,5.52E+10,6.46E+28
190,190,6.05E+10,7.28E+28
191,191,6.63E+10,8.21E+28
192,192,7.28E+10,9.25E+28
193,193,7.98E+10,1.04E+29
194,194,8.75E+10,1.17E+29
195,195,9.60E+10,1.32E+29
196,196,1.05E+11,1.49E+29
197,197,1.15E+11,1.67E+29
198,198,1.27E+11,1.82E+29
199,199,1.39E+11,2.02E+29
200,200,1.52E+11,2.25E+29
201,201,1.67E+11,2.52E+29
202,202,1.83E+11,2.82E+29
203,203,2.01E+11,3.16E+29
204,204,2.20E+11,3.53E+29
205,205,2.41E+11,3.95E+29
206,206,2.65E+11,4.41E+29
207,207,2.90E+11,4.94E+29
208,208,3.18E+11,5.52E+29
209,209,3.49E+11,6.17E+29
210,210,3.83E+11,6.83E+29
211,211,4.20E+11,7.56E+29
212,212,4.61E+11,8.31E+29
213,213,5.05E+11,8.84E+29
214,214,5.54E+11,9.16E+29
215,215,6.07E+11,9.52E+29
216,216,6.66E+11,9.91E+29
217,217,7.31E+11,1.03E+30
218,218,8.01E+11,1.08E+30
219,219,8.79E+11,1.12E+30
220,220,9.63E+11,1.18E+30
221,221,1.06E+12,1.25E+30
222,222,1.16E+12,1.33E+30
223,223,1.27E+12,1.41E+30
224,224,1.39E+12,1.51E+30
225,225,1.53E+12,1.62E+30
226,226,1.68E+12,1.74E+30
227,227,1.84E+12,1.88E+30
228,228,2.01E+12,2.04E+30
229,229,2.21E+12,2.22E+30
230,230,2.42E+12,2.42E+30
231,231,2.66E+12,2.64E+30
232,232,2.91E+12,2.90E+30
233,233,3.19E+12,3.19E+30
234,234,3.50E+12,3.52E+30
235,235,3.84E+12,3.89E+30
236,236,4.21E+12,4.31E+30
237,237,4.62E+12,4.79E+30
238,238,5.07E+12,5.33E+30
239,239,5.56E+12,5.94E+30
240,240,6.09E+12,6.62E+30
241,241,6.68E+12,7.40E+30
242,242,7.33E+12,8.26E+30
243,243,8.03E+12,9.23E+30
244,244,8.81E+12,1.03E+31
245,245,9.66E+12,1.16E+31
246,246,1.06E+13,1.30E+31
247,247,1.16E+13,1.45E+31
248,248,1.27E+13,1.62E+31
249,249,1.40E+13,1.82E+31
250,250,1.53E+13,2.05E+31
251,251,1.68E+13,2.30E+31
252,252,1.84E+13,2.58E+31
253,253,2.02E+13,2.91E+31
254,254,2.22E+13,3.27E+31
255,255,2.43E+13,3.70E+31
256,256,2.66E+13,4.19E+31
257,257,2.92E+13,4.77E+31
258,258,3.20E+13,5.45E+31
259,259,3.51E+13,6.26E+31
260,260,3.85E+13,7.23E+31
261,261,4.23E+13,8.41E+31
262,262,4.64E+13,9.84E+31
263,263,5.08E+13,1.16E+32
264,264,5.58E+13,1.38E+32
265,265,6.12E+13,1.55E+32
266,266,6.71E+13,1.69E+32
267,267,7.36E+13,2.05E+32
268,268,8.07E+13,2.49E+32
269,269,8.85E+13,3.04E+32
270,270,9.71E+13,3.73E+32
271,271,1.06E+14,4.58E+32
272,272,1.17E+14,5.66E+32
273,273,1.28E+14,7.01E+32
274,274,1.41E+14,8.71E+32
275,275,1.54E+14,1.08E+33
276,276,1.69E+14,1.36E+33
277,277,1.86E+14,1.71E+33
278,278,2.04E+14,2.18E+33
279,279,2.24E+14,2.80E+33
280,280,2.46E+14,3.65E+33
281,281,2.70E+14,4.81E+33
282,282,2.97E+14,6.45E+33
283,283,3.26E+14,8.75E+33
284,284,3.59E+14,1.20E+34
285,285,3.95E+14,1.65E+34
286,286,4.35E+14,2.29E+34
287,287,4.80E+14,3.16E+34
288,288,5.30E+14,4.35E+34
289,289,5.87E+14,5.92E+34
290,290,6.50E+14,7.33E+34
291,291,7.22E+14,8.89E+34
292,292,8.02E+14,1.08E+35
293,293,8.92E+14,1.31E+35
294,294,9.94E+14,1.61E+35
295,295,1.11E+15,1.97E+35
296,296,1.24E+15,2.42E+35
297,297,1.39E+15,2.97E+35
298,298,1.56E+15,3.65E+35
299,299,1.75E+15,4.48E+35
300,300,1.97E+15,5.50E+35
301,301,2.23E+15,6.74E+35
302,302,2.52E+15,8.23E+35
303,303,2.87E+15,1.00E+36
304,304,3.18E+15,1.18E+36
305,305,3.53E+15,1.39E+36
306,306,3.92E+15,1.64E+36
307,307,4.35E+15,1.93E+36
308,308,4.83E+15,2.28E+36
309,309,5.36E+15,2.68E+36
310,310,5.95E+15,3.16E+36
311,311,6.60E+15,3.73E+36
312,312,7.33E+15,4.39E+36
313,313,8.14E+15,5.11E+36
314,314,9.03E+15,5.92E+36
315,315,1.00E+16,6.81E+36
316,316,1.11E+16,7.80E+36
317,317,1.24E+16,8.90E+36
318,318,1.37E+16,1.01E+37
319,319,1.78E+16,1.38E+37
320,320,2.30E+16,1.85E+37
321,321,2.99E+16,2.46E+37
322,322,3.87E+16,3.26E+37
323,323,5.02E+16,4.29E+37
324,324,6.50E+16,5.62E+37
325,325,8.43E+16,7.35E+37
326,326,1.09E+17,9.60E+37
327,327,1.42E+17,1.25E+38
