a,b,rho,P
,,1.01E+11,1.38E+29
,,1.06E+11,1.49E+29
,,1.13E+11,1.60E+29
,,1.19E+11,1.73E+29
,,1.27E+11,1.86E+29
,,1.34E+11,2.00E+29
,,1.42E+11,2.15E+29
,,1.50E+11,2.32E+29
,,1.59E+11,2.50E+29
,,1.69E+11,2.69E+29
,,1.79E+11,2.90E+29
,,1.90E+11,3.12E+29
,,2.01E+11,3.36E+29
,,2.13E+11,3.62E+29
,,2.25E+11,3.90E+29
,,2.39E+11,4.20E+29
,,2.53E+11,4.52E+29
,,2.68E+11,4.87E+29
,,2.84E+11,5.24E+29
,,3.01E+11,5.65E+29
,,3.19E+11,6.08E+29
,,3.37E+11,6.55E+29
,,3.57E+11,7.05E+29
,,3.79E+11,7.60E+29
,,4.01E+11,7.91E+29
,,4.25E+11,8.19E+29
,,4.50E+11,8.49E+29
,,4.77E+11,8.80E+29
,,5.05E+11,9.12E+29
,,5.35E+11,9.46E+29
,,5.67E+11,9.80E+29
,,6.01E+11,1.02E+30
,,6.36E+11,1.05E+30
,,6.74E+11,1.09E+30
,,7.14E+11,1.13E+30
,,7.57E+11,1.17E+30
,,8.02E+11,1.22E+30
,,8.49E+11,1.26E+30
,,8.99E+11,1.31E+30
,,9.53E+11,1.35E+30
,,1.01E+12,1.40E+30
,,1.07E+12,1.45E+30
,,1.13E+12,1.51E+30
,,1.20E+12,1.56E+30
,,1.27E+12,1.62E+30
,,1.35E+12,1.68E+30
,,1.43E+12,1.74E+30
,,1.51E+12,1.80E+30
,,1.60E+12,1.87E+30
,,1.70E+12,1.94E+30
,,1.80E+12,2.01E+30
,,1.90E+12,2.08E+30
,,2.02E+12,2.16E+30
,,2.14E+12,2.23E+30
,,2.26E+12,2.32E+30
,,2.40E+12,2.40E+30
,,2.54E+12,2.49E+30
,,2.69E+12,2.60E+30
,,2.85E+12,2.81E+30
,,3.02E+12,3.04E+30
,,3.20E+12,3.29E+30
,,3.39E+12,3.56E+30
,,3.59E+12,3.85E+30
,,3.80E+12,4.16E+30
,,4.03E+12,4.50E+30
,,4.26E+12,4.86E+30
,,4.52E+12,5.26E+30
,,4.79E+12,5.68E+30
,,5.07E+12,6.14E+30
