a,b,rho,P
,,1.52E+11,2.25E+29
,,1.67E+11,2.52E+29
,,1.83E+11,2.82E+29
,,2.01E+11,3.16E+29
,,2.20E+11,3.53E+29
,,2.41E+11,3.95E+29
,,2.65E+11,4.41E+29
,,2.90E+11,4.94E+29
,,3.18E+11,5.52E+29
,,3.49E+11,6.17E+29
,,3.83E+11,6.83E+29
,,4.20E+11,7.56E+29
,,4.61E+11,8.31E+29
,,5.05E+11,8.83E+29
,,5.54E+11,9.14E+29
,,6.07E+11,9.49E+29
,,6.66E+11,9.86E+29
,,7.31E+11,1.03E+30
,,8.01E+11,1.07E+30
,,8.79E+11,1.11E+30
,,9.63E+11,1.17E+30
,,1.06E+12,1.23E+30
,,1.16E+12,1.30E+30
,,1.27E+12,1.38E+30
,,1.39E+12,1.47E+30
,,1.53E+12,1.57E+30
,,1.68E+12,1.68E+30
,,1.84E+12,1.80E+30
,,2.01E+12,1.94E+30
,,2.21E+12,2.10E+30
,,2.42E+12,2.28E+30
,,2.66E+12,2.47E+30
,,2.91E+12,2.68E+30
,,3.19E+12,2.92E+30
,,3.50E+12,3.20E+30
,,3.84E+12,3.50E+30
,,4.21E+12,3.84E+30
,,4.62E+12,4.22E+30
,,5.07E+12,4.64E+30
,,5.55E+12,5.11E+30
,,6.09E+12,5.63E+30
,,6.68E+12,6.20E+30
,,7.32E+12,6.84E+30
,,8.03E+12,7.54E+30
,,8.81E+12,8.31E+30
,,9.66E+12,9.15E+30
,,1.06E+13,1.01E+31
,,1.16E+13,1.12E+31
,,1.27E+13,1.23E+31
,,1.40E+13,1.36E+31
,,1.53E+13,1.50E+31
,,1.68E+13,1.67E+31
,,1.84E+13,1.86E+31
,,2.02E+13,2.08E+31
,,2.21E+13,2.34E+31
,,2.43E+13,2.64E+31
,,2.66E+13,3.01E+31
,,2.92E+13,3.45E+31
,,3.20E+13,4.01E+31
,,3.51E+13,4.70E+31
,,3.85E+13,5.58E+31
,,4.22E+13,6.70E+31
,,4.63E+13,8.13E+31
,,5.08E+13,9.95E+31
,,5.57E+13,1.23E+32
,,6.11E+13,1.53E+32
,,6.70E+13,1.91E+32
,,7.35E+13,2.25E+32
,,8.06E+13,2.71E+32
,,8.84E+13,3.37E+32
,,9.70E+13,4.19E+32
,,1.06E+14,5.19E+32
,,1.17E+14,6.41E+32
,,1.28E+14,7.86E+32
,,1.41E+14,9.61E+32
,,1.54E+14,1.17E+33
,,1.69E+14,1.42E+33
,,1.86E+14,1.72E+33
,,2.04E+14,2.10E+33
,,2.24E+14,2.56E+33
,,2.46E+14,3.14E+33
,,2.70E+14,3.90E+33
,,2.96E+14,4.91E+33
,,3.25E+14,6.28E+33
,,3.58E+14,8.14E+33
,,3.93E+14,1.07E+34
,,4.32E+14,1.42E+34
,,4.76E+14,1.89E+34
,,5.24E+14,2.53E+34
,,5.78E+14,3.38E+34
,,6.38E+14,4.50E+34
,,7.05E+14,5.97E+34
,,7.80E+14,7.89E+34
,,8.65E+14,1.04E+35
,,9.61E+14,1.36E+35
,,1.07E+15,1.79E+35
,,1.20E+15,2.33E+35
,,1.34E+15,3.01E+35
,,1.51E+15,3.87E+35
,,1.70E+15,4.95E+35
,,1.92E+15,6.29E+35
,,2.18E+15,7.95E+35
,,2.49E+15,1.00E+36
,,2.85E+15,1.26E+36
,,3.28E+15,1.59E+36
,,3.78E+15,2.00E+36
,,4.39E+15,2.55E+36
,,5.13E+15,3.22E+36
,,6.04E+15,4.03E+36
,,7.22E+15,5.09E+36
,,8.62E+15,6.36E+36
,,1.03E+16,7.87E+36
,,1.23E+16,9.67E+36
,,1.47E+16,1.18E+37
,,1.76E+16,1.44E+37
,,2.10E+16,1.75E+37
,,2.51E+16,2.12E+37
,,3.00E+16,2.56E+37
,,3.59E+16,3.08E+37
,,4.29E+16,3.71E+37
,,5.12E+16,4.46E+37
