a,b,rho,P
178,178,1.38E+07,1.11E+24
179,179,1.41E+07,1.14E+24
180,180,1.44E+07,1.18E+24
181,181,1.47E+07,1.21E+24
182,182,1.50E+07,1.25E+24
183,183,1.54E+07,1.29E+24
184,184,1.57E+07,1.33E+24
185,185,1.60E+07,1.37E+24
186,186,1.64E+07,1.41E+24
187,187,1.67E+07,1.45E+24
188,188,1.71E+07,1.50E+24
189,189,1.74E+07,1.54E+24
190,190,1.78E+07,1.59E+24
191,191,1.82E+07,1.64E+24
192,192,1.85E+07,1.69E+24
193,193,1.89E+07,1.74E+24
194,194,1.93E+07,1.79E+24
195,195,1.97E+07,1.85E+24
196,196,2.02E+07,1.90E+24
197,197,2.06E+07,1.96E+24
198,198,2.10E+07,2.02E+24
199,199,2.15E+07,2.08E+24
200,200,2.19E+07,2.15E+24
201,201,2.24E+07,2.21E+24
202,202,2.29E+07,2.28E+24
203,203,2.34E+07,2.35E+24
204,204,2.39E+07,2.42E+24
205,205,2.44E+07,2.49E+24
206,206,2.49E+07,2.57E+24
207,207,2.54E+07,2.65E+24
208,208,2.60E+07,2.73E+24
209,209,2.65E+07,2.81E+24
210,210,2.71E+07,2.89E+24
211,211,2.77E+07,2.98E+24
212,212,2.82E+07,3.07E+24
213,213,2.89E+07,3.17E+24
214,214,2.95E+07,3.26E+24
215,215,3.01E+07,3.36E+24
216,216,3.08E+07,3.46E+24
217,217,3.14E+07,3.57E+24
218,218,3.21E+07,3.68E+24
219,219,3.28E+07,3.79E+24
220,220,3.35E+07,3.91E+24
221,221,3.42E+07,4.02E+24
222,222,3.49E+07,4.15E+24
223,223,3.57E+07,4.27E+24
224,224,3.65E+07,4.40E+24
225,225,3.72E+07,4.54E+24
226,226,3.80E+07,4.67E+24
227,227,3.89E+07,4.82E+24
228,228,3.97E+07,4.96E+24
229,229,4.06E+07,5.11E+24
230,230,4.14E+07,5.27E+24
231,231,4.23E+07,5.43E+24
232,232,4.33E+07,5.60E+24
233,233,4.42E+07,5.77E+24
234,234,4.52E+07,5.94E+24
235,235,4.61E+07,6.12E+24
236,236,4.71E+07,6.31E+24
237,237,4.82E+07,6.50E+24
238,238,4.92E+07,6.70E+24
239,239,5.03E+07,6.90E+24
240,240,5.14E+07,7.11E+24
241,241,5.25E+07,7.33E+24
242,242,5.36E+07,7.55E+24
243,243,5.48E+07,7.78E+24
244,244,5.60E+07,8.02E+24
245,245,5.72E+07,8.26E+24
246,246,5.84E+07,8.51E+24
247,247,5.97E+07,8.77E+24
248,248,6.10E+07,9.04E+24
249,249,6.24E+07,9.31E+24
250,250,6.37E+07,9.59E+24
251,251,6.51E+07,9.89E+24
252,252,6.65E+07,1.02E+25
253,253,6.80E+07,1.05E+25
254,254,6.95E+07,1.08E+25
255,255,7.10E+07,1.11E+25
256,256,7.25E+07,1.15E+25
257,257,7.41E+07,1.18E+25
258,258,7.58E+07,1.22E+25
259,259,7.74E+07,1.26E+25
260,260,7.91E+07,1.29E+25
261,261,8.09E+07,1.33E+25
262,262,8.26E+07,1.37E+25
263,263,8.44E+07,1.42E+25
264,264,8.63E+07,1.46E+25
265,265,8.82E+07,1.50E+25
266,266,9.01E+07,1.55E+25
267,267,9.21E+07,1.60E+25
268,268,9.41E+07,1.64E+25
269,269,9.62E+07,1.70E+25
270,270,9.83E+07,1.75E+25
271,271,1.01E+08,1.80E+25
272,272,1.03E+08,1.85E+25
273,273,1.05E+08,1.91E+25
274,274,1.07E+08,1.97E+25
275,275,1.10E+08,2.03E+25
276,276,1.12E+08,2.09E+25
277,277,1.15E+08,2.15E+25
278,278,1.17E+08,2.22E+25
279,279,1.20E+08,2.29E+25
280,280,1.22E+08,2.36E+25
281,281,1.25E+08,2.43E+25
282,282,1.28E+08,2.50E+25
283,283,1.31E+08,2.58E+25
284,284,1.34E+08,2.66E+25
285,285,1.36E+08,2.74E+25
286,286,1.39E+08,2.82E+25
287,287,1.43E+08,2.91E+25
288,288,1.46E+08,2.99E+25
289,289,1.49E+08,3.09E+25
290,290,1.52E+08,3.18E+25
291,291,1.56E+08,3.28E+25
292,292,1.59E+08,3.38E+25
293,293,1.63E+08,3.48E+25
294,294,1.66E+08,3.58E+25
295,295,1.70E+08,3.69E+25
296,296,1.74E+08,3.81E+25
297,297,1.78E+08,3.92E+25
298,298,1.81E+08,4.04E+25
299,299,1.86E+08,4.16E+25
300,300,1.90E+08,4.29E+25
301,301,1.94E+08,4.42E+25
302,302,1.98E+08,4.56E+25
303,303,2.03E+08,4.69E+25
304,304,2.07E+08,4.84E+25
305,305,2.12E+08,4.98E+25
306,306,2.16E+08,5.13E+25
307,307,2.21E+08,5.29E+25
308,308,2.26E+08,5.45E+25
309,309,2.31E+08,5.62E+25
310,310,2.36E+08,5.79E+25
311,311,2.42E+08,5.96E+25
312,312,2.47E+08,6.15E+25
313,313,2.53E+08,6.33E+25
314,314,2.58E+08,6.53E+25
315,315,2.64E+08,6.72E+25
316,316,2.70E+08,6.93E+25
317,317,2.85E+08,7.14E+25
318,318,2.91E+08,7.36E+25
319,319,2.98E+08,7.58E+25
320,320,3.04E+08,7.81E+25
321,321,3.11E+08,8.05E+25
322,322,3.18E+08,8.29E+25
323,323,3.25E+08,8.54E+25
324,324,3.32E+08,8.80E+25
325,325,3.40E+08,9.07E+25
326,326,3.47E+08,9.35E+25
327,327,3.55E+08,9.63E+25
328,328,3.63E+08,9.93E+25
329,329,3.71E+08,1.02E+26
330,330,3.80E+08,1.05E+26
331,331,3.88E+08,1.09E+26
332,332,3.97E+08,1.12E+26
333,333,4.06E+08,1.15E+26
334,334,4.15E+08,1.19E+26
335,335,4.24E+08,1.22E+26
336,336,4.34E+08,1.26E+26
337,337,4.43E+08,1.30E+26
338,338,4.53E+08,1.34E+26
339,339,4.63E+08,1.38E+26
340,340,4.74E+08,1.42E+26
341,341,4.84E+08,1.47E+26
342,342,4.95E+08,1.51E+26
343,343,5.06E+08,1.56E+26
344,344,5.18E+08,1.60E+26
345,345,5.29E+08,1.65E+26
346,346,5.41E+08,1.70E+26
347,347,5.54E+08,1.75E+26
348,348,5.66E+08,1.81E+26
349,349,5.79E+08,1.86E+26
350,350,5.92E+08,1.92E+26
351,351,6.05E+08,1.98E+26
352,352,6.19E+08,2.04E+26
353,353,6.32E+08,2.10E+26
354,354,6.47E+08,2.16E+26
355,355,6.61E+08,2.23E+26
356,356,6.76E+08,2.30E+26
357,357,6.91E+08,2.37E+26
358,358,7.07E+08,2.44E+26
359,359,7.23E+08,2.51E+26
360,360,7.39E+08,2.59E+26
361,361,7.56E+08,2.67E+26
362,362,7.73E+08,2.75E+26
363,363,7.90E+08,2.83E+26
364,364,8.08E+08,2.92E+26
365,365,8.26E+08,3.01E+26
366,366,8.45E+08,3.10E+26
367,367,8.64E+08,3.19E+26
368,368,8.83E+08,3.29E+26
369,369,9.03E+08,3.39E+26
370,370,9.23E+08,3.49E+26
371,371,9.44E+08,3.60E+26
372,372,9.66E+08,3.71E+26
373,373,9.87E+08,3.82E+26
374,374,1.01E+09,3.94E+26
375,375,1.03E+09,4.06E+26
376,376,1.06E+09,4.18E+26
377,377,1.08E+09,4.31E+26
378,378,1.10E+09,4.44E+26
379,379,1.13E+09,4.57E+26
380,380,1.15E+09,4.71E+26
381,381,1.18E+09,4.86E+26
382,382,1.21E+09,5.00E+26
383,383,1.23E+09,5.16E+26
384,384,1.26E+09,5.31E+26
385,385,1.29E+09,5.47E+26
386,386,1.32E+09,5.64E+26
387,387,1.39E+09,5.81E+26
388,388,1.42E+09,5.99E+26
389,389,1.48E+09,6.17E+26
390,390,1.52E+09,6.36E+26
391,391,1.55E+09,6.55E+26
392,392,1.59E+09,6.75E+26
393,393,1.62E+09,6.96E+26
394,394,1.66E+09,7.17E+26
395,395,1.70E+09,7.39E+26
396,396,1.74E+09,7.61E+26
397,397,1.77E+09,7.84E+26
398,398,1.81E+09,8.08E+26
399,399,1.86E+09,8.33E+26
400,400,1.90E+09,8.58E+26
401,401,1.94E+09,8.84E+26
402,402,1.98E+09,9.11E+26
403,403,2.03E+09,9.38E+26
404,404,2.08E+09,9.67E+26
405,405,2.12E+09,9.96E+26
406,406,2.17E+09,1.03E+27
407,407,2.22E+09,1.06E+27
408,408,2.27E+09,1.09E+27
409,409,2.32E+09,1.12E+27
410,410,2.37E+09,1.16E+27
411,411,2.43E+09,1.19E+27
412,412,2.48E+09,1.23E+27
413,413,2.54E+09,1.27E+27
414,414,2.60E+09,1.30E+27
415,415,2.65E+09,1.34E+27
416,416,2.71E+09,1.39E+27
417,417,2.78E+09,1.43E+27
418,418,2.84E+09,1.47E+27
419,419,2.90E+09,1.52E+27
420,420,2.97E+09,1.56E+27
421,421,3.04E+09,1.61E+27
422,422,3.10E+09,1.66E+27
423,423,3.28E+09,1.71E+27
424,424,3.35E+09,1.76E+27
425,425,3.43E+09,1.81E+27
426,426,3.51E+09,1.87E+27
427,427,3.59E+09,1.93E+27
428,428,3.67E+09,1.98E+27
429,429,3.75E+09,2.04E+27
430,430,3.84E+09,2.11E+27
431,431,3.92E+09,2.17E+27
432,432,4.01E+09,2.24E+27
433,433,4.10E+09,2.31E+27
434,434,4.19E+09,2.38E+27
435,435,4.29E+09,2.45E+27
436,436,4.39E+09,2.52E+27
437,437,4.49E+09,2.60E+27
438,438,4.59E+09,2.68E+27
439,439,4.69E+09,2.76E+27
440,440,4.80E+09,2.84E+27
441,441,4.91E+09,2.93E+27
442,442,5.02E+09,3.02E+27
443,443,5.13E+09,3.11E+27
444,444,5.25E+09,3.20E+27
445,445,5.37E+09,3.30E+27
446,446,5.49E+09,3.40E+27
447,447,5.61E+09,3.51E+27
448,448,5.74E+09,3.61E+27
449,449,5.87E+09,3.72E+27
450,450,6.00E+09,3.84E+27
451,451,6.14E+09,3.95E+27
452,452,6.28E+09,4.07E+27
453,453,6.42E+09,4.20E+27
454,454,6.57E+09,4.32E+27
455,455,6.72E+09,4.46E+27
456,456,6.87E+09,4.59E+27
457,457,7.03E+09,4.73E+27
458,458,7.18E+09,4.87E+27
459,459,7.35E+09,5.02E+27
460,460,7.51E+09,5.18E+27
461,461,7.68E+09,5.33E+27
462,462,7.86E+09,5.50E+27
463,463,8.04E+09,5.66E+27
464,464,8.22E+09,5.83E+27
465,465,8.41E+09,6.01E+27
466,466,8.60E+09,6.20E+27
467,467,8.79E+09,6.38E+27
