a,b,rho,P
,,1.258978E+06,2.819271E+22
,,1.584947E+06,4.060335E+22
,,1.995404E+06,5.847579E+22
,,2.512026E+06,8.421957E+22
,,3.162483E+06,1.212922E+23
,,3.981420E+06,1.746891E+23
,,5.012380E+06,2.515874E+23
,,6.310019E+06,3.623390E+23
,,7.944189E+06,5.218416E+23
,,1.000141E+07,7.515541E+23
,,1.259101E+07,1.082427E+24
,,1.585194E+07,1.558892E+24
,,1.995713E+07,2.245115E+24
,,2.512520E+07,3.205872E+24
,,3.163162E+07,4.312000E+24
,,3.982347E+07,5.799844E+24
,,5.013615E+07,7.800843E+24
,,6.311872E+07,1.049234E+25
,,7.946659E+07,1.411245E+25
,,1.000512E+08,1.898201E+25
,,1.259595E+08,2.553119E+25
,,1.585812E+08,3.434058E+25
,,1.996577E+08,4.618949E+25
,,2.513694E+08,6.212810E+25
,,3.164706E+08,8.355905E+25
,,3.984446E+08,1.123945E+26
,,5.016456E+08,1.511712E+26
,,6.315578E+08,2.033303E+26
,,7.951600E+08,2.734902E+26
,,1.001191E+09,3.678508E+26
,,1.260522E+09,4.947713E+26
,,1.587047E+09,6.654639E+26
,,1.998245E+09,8.950931E+26
,,2.515917E+09,1.203930E+27
,,3.167732E+09,1.619338E+27
,,3.988523E+09,2.178064E+27
,,5.021953E+09,2.929562E+27
,,6.322989E+09,3.940386E+27
,,7.962099E+09,5.299899E+27
,,1.002488E+10,7.128663E+27
,,1.262313E+10,9.588143E+27
,,1.589517E+10,1.289631E+28
,,2.001456E+10,1.734625E+28
,,2.520302E+10,2.333093E+28
,,3.173661E+10,3.138099E+28
,,3.996428E+10,4.220859E+28
,,5.032637E+10,5.677175E+28
,,6.337811E+10,7.635989E+28
,,7.981245E+10,1.027087E+29
,,1.005082E+11,1.381439E+29
,,1.265833E+11,1.858070E+29
,,1.594149E+11,2.499167E+29
,,2.007756E+11,3.361456E+29
,,2.528763E+11,4.521314E+29
,,3.185025E+11,6.081260E+29
,,4.011744E+11,7.906305E+29
,,5.052956E+11,9.124666E+29
,,6.364368E+11,1.053008E+30
,,8.015213E+11,1.215197E+30
,,1.009405E+12,1.402420E+30
,,1.271206E+12,1.618450E+30
,,1.600881E+12,1.867784E+30
,,2.015970E+12,2.155473E+30
,,2.538583E+12,2.487511E+30
,,3.196759E+12,3.288965E+30
,,4.025579E+12,4.495226E+30
,,5.069384E+12,6.143982E+30
,,6.384131E+12,8.396979E+30
,,8.039917E+12,1.147702E+31
,,1.012555E+13,1.568605E+31
,,1.275220E+13,2.143927E+31
,,1.606131E+13,2.930228E+31
,,2.023011E+13,4.004940E+31
,,2.548156E+13,5.473745E+31
,,3.209791E+13,7.481127E+31
,,4.043427E+13,1.022535E+32
,,5.093780E+13,1.397535E+32
,,6.417482E+13,1.910080E+32
,,8.085619E+13,2.610624E+32
,,1.018793E+14,3.568106E+32
,,1.283743E+14,4.876720E+32
,,1.617803E+14,6.665186E+32
,,2.039192E+14,1.196214E+33
,,2.572057E+14,2.325988E+33
,,3.247403E+14,4.522757E+33
,,4.106484E+14,8.794404E+33
,,5.205318E+14,1.710035E+34
,,6.627466E+14,3.806283E+34
,,8.508675E+14,8.472468E+34
,,1.108036E+15,1.885823E+35
,,1.477361E+15,4.238399E+35
,,2.045059E+15,9.525976E+35
,,2.990913E+15,1.802675E+36
,,4.700924E+15,3.339531E+36
,,8.020771E+15,6.323212E+36
,,1.482364E+16,1.243722E+37
,,2.928350E+16,2.543289E+37
,,6.073849E+16,5.370276E+37
,,1.301160E+17,1.160551E+38
,,2.843924E+17,2.547096E+38
,,4.978507E+17,4.465532E+38
,,8.715257E+17,7.823900E+38
,,1.525672E+18,1.370298E+39
,,2.670806E+18,2.399476E+39
,,4.675450E+18,4.201130E+39
